Row No.,DBMS,In-memory,"column-
orientedness", Multi-GPU,RAM size (GB),Evolution,Interconnect,"Database 
Size (GB)",Query Name,aggregation,subquery,# of joins,"# of attributes 
to be referenced 
(on the fact table)",# of (projection+selection) attributes to be referenced by query,"# of all tables 
to be referenced","# of distinct tables
 to be referenced",case-when,order by,HtoD time (㎲),DtoH time (㎲),GPU Page Fault,"# of kernels 
invoked","GPU utilization
(Kernel Time, ㎲)","GPU Utilization 
(Kernel Time, %)",Elapsed Time (㎲),"Elapsed Time 
on NVProf (ms)","Profiling 
Overhead (ms)","cudaLaunchKernel 
start time (ms)",,
33,BlazingSQL,T,T,F,48,2080ti,-,2,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
34,BlazingSQL,T,T,F,48,2080ti,-,2,Q12,T,F,1,5,7,2,2,T,T,261.151,61.408,0,114,33399.65,74.9366,43928,490.94024,446.30197,0.067717,,
35,BlazingSQL,T,T,F,48,2080ti,-,2,Q13,T,T,1,0,6,2,2,F,T,109.407,60.384,0,71,156858.46,94.5467,167468,611.93478,445.92672,0.102193,,
36,BlazingSQL,T,T,F,48,2080ti,-,2,Q14,T,F,1,4,6,2,2,T,F,317.31,75.712,0,72,8457.46,43.7631,17117,442.75915,423.34841,0.085184,,
37,BlazingSQL,T,T,F,48,2080ti,-,2,Q15,T,T,1,4,8,2,2,F,T,221.981,64.352,0,104,8495.41,45.2978,15974,433.54464,414.70492,0.085165,,
38,BlazingSQL,T,T,F,48,2080ti,-,2,Q16,T,T,1,0,8,3,3,F,T,420.96,170.463,0,327,45855.86,74.6617,59033,475.69825,414.16998,0.110067,,
39,BlazingSQL,T,T,F,48,2080ti,-,2,Q17,T,T,2,3,6,3,2,F,F,256.798,40.864,0,41,26997.25,72.9111,36898,450.62284,413.52776,0.067439,,
40,BlazingSQL,T,T,F,48,2080ti,-,2,Q18,T,T,2,2,8,4,3,F,T,307.646,113.632,0,192,27981.99,67.4527,40500,455.35569,413.76383,0.107995,,
41,BlazingSQL,T,T,F,48,2080ti,-,2,Q19,T,F,1,6,10,2,2,F,F,593.404,189.343,0,169,74713.26,83.1694,87964,509.74205,419.84064,0.068768,,
42,BlazingSQL,T,T,F,48,2080ti,-,2,Q20,T,T,2,3,17,5,5,F,T,434.462,156.958,0,253,20100.58,58.2391,32888,449.70165,415.11742,0.070327,,
43,BlazingSQL,T,T,F,48,2080ti,-,2,Q21,T,T,3,4,16,6,4,F,T,4611.946,932.443,405881,1565,17815255.987,98.8863,15216976,18445.988105,429.96647,0.117694,,
44,BlazingSQL,T,T,F,48,2080ti,-,2,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
45,BlazingSQL,T,T,F,48,2080ti,-,4,Q1,T,F,0,7,7,1,1,F,T,339.902,81.022,1,140,76411.42,82.2738,99101,563.83333,470.8766,0.08215,,
46,BlazingSQL,T,T,F,48,2080ti,-,4,Q2,T,T,8,0,16,10,5,F,T,438.558,191.647,14,308,17571.07,53.2484,37243,478.09852,444.99383,0.10639,,
47,BlazingSQL,T,T,F,48,2080ti,-,4,Q3,T,F,2,4,10,3,3,F,T,333.206,102.495,15,165,26661.46,68.6817,38940,481.82386,442.92598,0.079029,,
48,BlazingSQL,T,T,F,48,2080ti,-,4,Q4,T,T,0,3,7,2,2,F,T,236.447,104.192,3,165,59446.56,84.3013,73968,508.00101,437.39956,0.084707,,
49,BlazingSQL,T,T,F,48,2080ti,-,4,Q5,T,F,5,4,16,6,6,F,T,352.703,111.552,98,167,31951.82,71.1428,44760,485.04265,440.04862,0.081797,,
50,BlazingSQL,T,T,F,48,2080ti,-,4,Q6,T,F,0,4,4,1,1,F,F,191.551,55.008,0,44,22059.4,71.0351,29163,475.46225,444.33298,0.075037,,
51,BlazingSQL,T,T,F,48,2080ti,-,4,Q7,T,T,5,5,15,6,5,F,T,522.012,184.766,472,266,57278.31,78.9363,71997,511.44592,438.78255,0.100679,,
52,BlazingSQL,T,T,F,48,2080ti,-,4,Q8,T,T,7,5,19,8,8,T,T,594.974,143.198,173,244,30910.16,65.578,45135,489.50256,442.29518,0.072433,,
53,BlazingSQL,T,T,F,48,2080ti,-,4,Q9,T,T,5,6,16,6,6,F,T,300.959,84.704,260,157,149438.19,92.5017,173367,594.14838,432.52408,0.072553,,
54,BlazingSQL,T,T,F,48,2080ti,-,4,Q10,T,F,3,4,16,4,4,F,T,377.536,142.751,3,281,47917,77.0263,58066,525.14936,462.85655,0.08419,,
55,BlazingSQL,T,T,F,48,2080ti,-,4,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
56,BlazingSQL,T,T,F,48,2080ti,-,4,Q12,T,F,1,5,7,2,2,T,T,273.982,63.008,5,114,67234.94,85.9894,75823,526.12663,447.86305,0.073737,,
57,BlazingSQL,T,T,F,48,2080ti,-,4,Q13,T,T,1,0,6,2,2,F,T,115.552,43.871,254,71,307149.35,97.2381,309803,748.78022,432.80307,0.103649,,
58,BlazingSQL,T,T,F,48,2080ti,-,4,Q14,T,F,1,4,6,2,2,T,F,302.396,76.48,3,72,16845.18,61.0815,25175,466.8264,439.16621,0.081996,,
59,BlazingSQL,T,T,F,48,2080ti,-,4,Q15,T,T,1,4,8,2,2,F,T,213.568,67.295,5,106,16938.97,62.3206,24441,467.52035,440.25607,0.083906,,
60,BlazingSQL,T,T,F,48,2080ti,-,4,Q16,T,T,1,0,8,3,3,F,T,431.773,169.533,260,326,101656.64,87.0885,109982,546.46967,429.63347,0.108213,,
61,BlazingSQL,T,T,F,48,2080ti,-,4,Q17,T,T,2,3,6,3,2,F,F,257.888,40.544,0,41,59416.94,85.1605,69768,504.04075,434.18584,0.084411,,
62,BlazingSQL,T,T,F,48,2080ti,-,4,Q18,T,T,2,2,8,4,3,F,T,323.839,117.216,974,196,96577.44,68.9222,77924,594.00996,453.77605,0.108555,,
63,BlazingSQL,T,T,F,48,2080ti,-,4,Q19,T,F,1,6,10,2,2,F,F,606.687,211.264,1,169,157124,91.2105,169647,609.38588,437.05041,0.070258,,
64,BlazingSQL,T,T,F,48,2080ti,-,4,Q20,T,T,2,3,17,5,5,F,T,433.82,164.125,24,247,43929.12,75.653,53143,497.58734,439.45232,0.06843,,
65,BlazingSQL,T,T,F,48,2080ti,-,4,Q21,T,T,3,4,16,6,4,F,T,,,,,,,41226862,,,,,
66,BlazingSQL,T,T,F,48,2080ti,-,4,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
67,BlazingSQL,T,T,F,48,2080ti,-,8,Q1,T,F,0,7,7,1,1,F,T,342.047,82.112,203,140,184283.64,90.762,176788,655.33887,452.221947,0.076315,,
68,BlazingSQL,T,T,F,48,2080ti,-,8,Q2,T,T,8,0,16,10,5,F,T,426.877,183.006,0,286,27574.43,64.6123,51956,488.09752,445.31094,0.109812,,
69,BlazingSQL,T,T,F,48,2080ti,-,8,Q3,T,F,2,4,10,3,3,F,T,332.831,103.328,257,167,59141.87,83.1133,63492,510.01882,438.77713,0.083527,,
70,BlazingSQL,T,T,F,48,2080ti,-,8,Q4,T,T,0,3,7,2,2,F,T,237.597,113.44,123,165,123006.12,91.5591,132018,588.26358,453.83605,0.081399,,
71,BlazingSQL,T,T,F,48,2080ti,-,8,Q5,T,F,5,4,16,6,6,F,T,341.503,98.686,107,166,58891.12,53.6453,71871,581.97951,472.11842,0.082331,,
72,BlazingSQL,T,T,F,48,2080ti,-,8,Q6,T,F,0,4,4,1,1,F,F,192.224,46.144,183,44,52670.07,84.8455,50627,551.87722,489.7252,0.074403,,
73,BlazingSQL,T,T,F,48,2080ti,-,8,Q7,T,T,5,5,15,6,5,F,T,515.455,175.04,208,266,114700.23,88.0165,130740,567.11723,436.61601,0.184548,,
74,BlazingSQL,T,T,F,48,2080ti,-,8,Q8,T,T,7,5,19,8,8,T,T,568.286,135.424,107,236,54361.18,77.4985,70945,509.51102,439.29159,0.074579,,
75,BlazingSQL,T,T,F,48,2080ti,-,8,Q9,T,T,5,6,16,6,6,F,T,304.703,87.072,254,157,313874.05,96.2542,322838,758.99154,432.82003,0.082934,,
76,BlazingSQL,T,T,F,48,2080ti,-,8,Q10,T,F,3,4,16,4,4,F,T,380.734,155.168,233,283,98615.85,87.4901,106983,584.25117,471.45363,0.080951,,
77,BlazingSQL,T,T,F,48,2080ti,-,8,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
78,BlazingSQL,T,T,F,48,2080ti,-,8,Q12,T,F,1,5,7,2,2,T,T,282.847,66.431,206,114,140126.06,92.4623,140310,624.77519,473.15157,0.074194,,
79,BlazingSQL,T,T,F,48,2080ti,-,8,Q13,T,T,1,0,6,2,2,F,T,120.639,42.304,79,71,615051.82,98.5873,616339,1048.506828,424.51252,0.129422,,
80,BlazingSQL,T,T,F,48,2080ti,-,8,Q14,T,F,1,4,6,2,2,T,F,303.26,77.599,234,72,41603.82,79.3309,40851,490.81146,438.28713,0.080958,,
81,BlazingSQL,T,T,F,48,2080ti,-,8,Q15,T,T,1,4,8,2,2,F,T,228.351,57.535,211,108,42316.52,80.3139,40466,509.8091,457.03848,0.081676,,
82,BlazingSQL,T,T,F,48,2080ti,-,8,Q16,T,T,1,0,8,3,3,F,T,435.197,180.542,314,328,248067.48,94.2319,258175,693.89262,430.535,0.105483,,
83,BlazingSQL,T,T,F,48,2080ti,-,8,Q17,T,T,2,3,6,3,2,F,F,270.56,42.494,270,41,134006.09,92.9486,135395,581.01728,436.77718,0.067777,,
84,BlazingSQL,T,T,F,48,2080ti,-,8,Q18,T,T,2,2,8,4,3,F,T,313.342,117.471,58,195,172339.56,92.8393,169876,619.98746,434.24312,0.112249,,
85,BlazingSQL,T,T,F,48,2080ti,-,8,Q19,T,F,1,6,10,2,2,F,F,605.728,198.655,199,169,343131.92,95.8034,353731,796.75496,438.50295,0.089532,,
