Row No.,DBMS,In-memory,"column-
orientedness", Multi-GPU,RAM size (GB),Evolution,Interconnect,"Database 
Size (GB)",Query Name,aggregation,subquery,# of joins,"# of attributes 
to be referenced 
(on the fact table)",# of (projection+selection) attributes to be referenced by query,"# of all tables 
to be referenced","# of distinct tables
 to be referenced",case-when,order by,HtoD time (㎲),DtoH time (㎲),GPU Page Fault,"# of kernels 
invoked","GPU utilization
(Kernel Time, ㎲)","GPU Utilization 
(Kernel Time, %)",Elapsed Time (㎲),"Elapsed Time 
on NVProf (ms)","Profiling 
Overhead (ms)","cudaLaunchKernel 
start time (ms)",,
442,BlazingSQL,T,T,F,64,2080ti,-,1,Q2,T,T,8,0,16,10,5,F,T,425.978,187.36,0,297,4185.09,21.3948,26449,431.82831,412.12767,0.139404,,
443,BlazingSQL,T,T,F,64,2080ti,-,1,Q3,T,F,2,4,10,3,3,F,T,334.365,99.296,0,161,7019.15,36.5677,18118,423.83178,404.55308,0.083747,,
444,BlazingSQL,T,T,F,64,2080ti,-,1,Q4,T,T,0,3,7,2,2,F,T,233.344,103.679,0,165,14761.74,56.3463,26932,430.85261,404.54102,0.113333,,
445,BlazingSQL,T,T,F,64,2080ti,-,1,Q5,T,F,5,4,16,6,6,F,T,333.599,99.871,0,160,6622.04,33.7895,22741,472.31885,452.63577,0.085157,,
446,BlazingSQL,T,T,F,64,2080ti,-,1,Q6,T,F,0,4,4,1,1,F,F,187.039,44.352,0,44,5729.34,37.9539,11045,455.02678,439.81998,0.111272,,
447,BlazingSQL,T,T,F,64,2080ti,-,1,Q7,T,T,5,5,15,6,5,F,T,506.236,169.056,0,266,13791.95,43.7533,33575,466.53472,434.90787,0.104736,,
448,BlazingSQL,T,T,F,64,2080ti,-,1,Q8,T,T,7,5,19,8,8,T,T,578.046,136.317,0,239,6513.85,28.8529,21763,467.80129,445.15544,0.069777,,
449,BlazingSQL,T,T,F,64,2080ti,-,1,Q9,T,T,5,6,16,6,6,F,T,292.127,79.872,0,157,30140.23,70.7404,42162,459.93616,417.25543,0.07392,,
450,BlazingSQL,T,T,F,64,2080ti,-,1,Q10,T,F,3,4,16,4,4,F,T,370.719,139.934,0,282,8802.48,37.7825,20480,436.69376,413.31302,0.082975,,
451,BlazingSQL,T,T,F,64,2080ti,-,1,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
452,BlazingSQL,T,T,F,64,2080ti,-,1,Q12,T,F,1,5,7,2,2,T,T,261.568,68.99,0,114,16858.62,59.4479,26055,470.34931,441.91998,0.070667,,
453,BlazingSQL,T,T,F,64,2080ti,-,1,Q13,T,T,1,0,6,2,2,F,T,,,,,,,82833,,,,,
454,BlazingSQL,T,T,F,64,2080ti,-,1,Q14,T,F,1,4,6,2,2,T,F,299.135,75.584,0,72,4484.62,28.5865,12069,446.97458,431.18645,0.10021,,
455,BlazingSQL,T,T,F,64,2080ti,-,1,Q15,T,T,1,4,8,2,2,F,T,211.422,55.808,0,102,4693,31.0163,11981,459.65623,444.4418,0.083656,,
456,BlazingSQL,T,T,F,64,2080ti,-,1,Q16,T,T,1,0,8,3,3,F,T,409.503,158.111,0,325,25078.45,62.8616,37752,451.284,411.28102,0.108299,,
457,BlazingSQL,T,T,F,64,2080ti,-,1,Q17,T,T,2,3,6,3,2,F,F,256.96,40.96,0,41,11486.11,53.3433,19521,426.43058,404.82662,0.071526,,
458,BlazingSQL,T,T,F,64,2080ti,-,1,Q18,T,T,2,2,8,4,3,F,T,319.645,114.4,0,193,13614.93,50.8877,23689,478.53642,451.67542,0.106171,,
459,BlazingSQL,T,T,F,64,2080ti,-,1,Q19,T,F,1,6,10,2,2,F,F,595.547,185.885,0,169,36729.87,70.5048,47852,495.33763,443.171,0.071092,,
460,BlazingSQL,T,T,F,64,2080ti,-,1,Q20,T,T,2,3,17,5,5,F,T,454.748,167.965,0,251,9696.17,39.5556,21501,432.61188,408.012,0.087102,,
461,BlazingSQL,T,T,F,64,2080ti,-,1,Q21,T,T,3,4,16,6,4,F,T,1470.774,838.107,517,1561,1124744.116,96.3786,1107575,1596.908839,429.78057,0.122712,,
462,BlazingSQL,T,T,F,64,2080ti,-,1,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
463,BlazingSQL,T,T,F,64,2080ti,-,2,Q1,T,F,0,7,7,1,1,F,T,337.46,80.64,0,140,38630.59,73.0319,55097,459.74385,406.76506,0.083287,,
464,BlazingSQL,T,T,F,64,2080ti,-,2,Q2,T,T,8,0,16,10,5,F,T,415.197,185.28,0,282,7331.34,32.7114,27437,431.56738,409.04574,0.109466,,
465,BlazingSQL,T,T,F,64,2080ti,-,2,Q3,T,F,2,4,10,3,3,F,T,326.591,99.008,0,163,13057.58,51.0225,25796,463.43006,437.75609,0.082152,,
466,BlazingSQL,T,T,F,64,2080ti,-,2,Q4,T,T,0,3,7,2,2,F,T,233.438,102.495,0,165,29320.34,72.2615,42698,451.08055,410.40175,0.103463,,
467,BlazingSQL,T,T,F,64,2080ti,-,2,Q5,T,F,5,4,16,6,6,F,T,354.717,121.056,0,174,13521.84,51.3232,28231,431.77731,405.32929,0.101563,,
468,BlazingSQL,T,T,F,64,2080ti,-,2,Q6,T,F,0,4,4,1,1,F,F,188.8,44.191,0,44,11268.89,54.7373,17726,432.88941,412.19154,0.110633,,
469,BlazingSQL,T,T,F,64,2080ti,-,2,Q7,T,T,5,5,15,6,5,F,T,508.125,172.735,0,266,26627.72,62.2297,44724,482.48603,439.61474,0.081909,,
470,BlazingSQL,T,T,F,64,2080ti,-,2,Q8,T,T,7,5,19,8,8,T,T,572.315,138.687,0,238,13237.08,45.1593,31738,441.30871,411.92455,0.07217,,
471,BlazingSQL,T,T,F,64,2080ti,-,2,Q9,T,T,5,6,16,6,6,F,T,297.534,93.088,0,162,68456.63,84.1738,78588,521.19295,439.79216,0.073065,,
472,BlazingSQL,T,T,F,64,2080ti,-,2,Q10,T,F,3,4,16,4,4,F,T,372.414,137.951,0,279,20493.03,58.9982,32852,448.62036,413.80078,0.084576,,
473,BlazingSQL,T,T,F,64,2080ti,-,2,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
474,BlazingSQL,T,T,F,64,2080ti,-,2,Q12,T,F,1,5,7,2,2,T,T,262.75,72.127,0,114,33331.58,74.9844,41667,446.54269,402.01771,0.073631,,
475,BlazingSQL,T,T,F,64,2080ti,-,2,Q13,T,T,1,0,6,2,2,F,T,108.958,40.416,0,71,156356.7,94.689,167151,579.69705,414.46438,0.106011,,
476,BlazingSQL,T,T,F,64,2080ti,-,2,Q14,T,F,1,4,6,2,2,T,F,309.567,75.36,0,72,8463.31,41.4108,16530,457.28468,436.74586,0.10139,,
477,BlazingSQL,T,T,F,64,2080ti,-,2,Q15,T,T,1,4,8,2,2,F,T,213.63,56.512,0,104,8475.35,44.8703,15268,431.68528,412.69129,0.105428,,
478,BlazingSQL,T,T,F,64,2080ti,-,2,Q16,T,T,1,0,8,3,3,F,T,419.007,161.183,0,327,44599.04,74.9271,55626,468.58588,408.95558,0.107078,,
479,BlazingSQL,T,T,F,64,2080ti,-,2,Q17,T,T,2,3,6,3,2,F,F,266.623,40.448,0,41,26945.32,72.2813,34941,446.55031,409.20116,0.070723,,
480,BlazingSQL,T,T,F,64,2080ti,-,2,Q18,T,T,2,2,8,4,3,F,T,305.663,114.239,0,192,27906.47,66.6336,36628,459.89079,417.89791,0.112409,,
481,BlazingSQL,T,T,F,64,2080ti,-,2,Q19,T,F,1,6,10,2,2,F,F,602.971,189.216,0,169,74719.99,82.7987,85907,535.64458,445.32992,0.071751,,
482,BlazingSQL,T,T,F,64,2080ti,-,2,Q20,T,T,2,3,17,5,5,F,T,432.095,153.792,0,248,19986.7,56.9085,32165,473.09271,437.89936,0.072561,,
483,BlazingSQL,T,T,F,64,2080ti,-,2,Q21,T,T,3,4,16,6,4,F,T,4707.369,945.564,405841,1565,17677645.303,98.8856,15202904,18304.353296,427.36922,0.123703,,
484,BlazingSQL,T,T,F,64,2080ti,-,2,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
485,BlazingSQL,T,T,F,64,2080ti,-,4,Q1,T,F,0,7,7,1,1,F,T,342.399,80.989,0,140,83348.54,84.0811,95189,529.34069,430.11354,0.098415,,
486,BlazingSQL,T,T,F,64,2080ti,-,4,Q2,T,T,8,0,16,10,5,F,T,422.266,182.848,16,289,17423.42,53.3495,35409,459.80521,427.00792,0.138299,,
487,BlazingSQL,T,T,F,64,2080ti,-,4,Q3,T,F,2,4,10,3,3,F,T,328.574,100.928,10,165,27091.52,69.0919,37133,466.92992,427.63737,0.081677,,
488,BlazingSQL,T,T,F,64,2080ti,-,4,Q4,T,T,0,3,7,2,2,F,T,237.566,102.08,5,165,60186.65,84.0889,72164,498.98638,427.32634,0.084985,,
489,BlazingSQL,T,T,F,64,2080ti,-,4,Q5,T,F,5,4,16,6,6,F,T,362.239,100.128,127,167,31830.76,70.9667,42763,476.49963,431.55875,0.087794,,
490,BlazingSQL,T,T,F,64,2080ti,-,4,Q6,T,F,0,4,4,1,1,F,F,191.488,45.024,0,44,22052.44,70.4914,28011,466.43629,435.07632,0.076106,,
491,BlazingSQL,T,T,F,64,2080ti,-,4,Q7,T,T,5,5,15,6,5,F,T,530.558,201.76,494,266,57441.13,77.8566,68681,537.74304,463.88119,0.083773,,
492,BlazingSQL,T,T,F,64,2080ti,-,4,Q8,T,T,7,5,19,8,8,T,T,579.228,147.422,0,238,26894.84,61.1632,42419,496.24482,452.20083,0.071724,,
493,BlazingSQL,T,T,F,64,2080ti,-,4,Q9,T,T,5,6,16,6,6,F,T,297.63,90.943,274,157,149954.34,92.4067,157201,595.21539,432.86496,0.073958,,
494,BlazingSQL,T,T,F,64,2080ti,-,4,Q10,T,F,3,4,16,4,4,F,T,375.965,139.711,56,281,52644.46,78.8602,57859,530.36518,463.52215,0.086325,,
495,BlazingSQL,T,T,F,64,2080ti,-,4,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
496,BlazingSQL,T,T,F,64,2080ti,-,4,Q12,T,F,1,5,7,2,2,T,T,263.774,63.231,0,114,66558.87,85.7785,74634,504.01639,426.34987,0.072649,,
497,BlazingSQL,T,T,F,64,2080ti,-,4,Q13,T,T,1,0,6,2,2,F,T,112.446,42.656,501,71,306753.44,97.1709,308653,751.47137,435.68344,0.10334,,
498,BlazingSQL,T,T,F,64,2080ti,-,4,Q14,T,F,1,4,6,2,2,T,F,300.895,76.318,6,72,16872.89,60.3952,24728,500.26639,472.24666,0.082279,,
499,BlazingSQL,T,T,F,64,2080ti,-,4,Q15,T,T,1,4,8,2,2,F,T,212.352,55.936,4,106,16894.11,61.1967,23725,485.67296,457.96417,0.102553,,
500,BlazingSQL,T,T,F,64,2080ti,-,4,Q16,T,T,1,0,8,3,3,F,T,422.235,169.949,366,326,101318.81,86.9055,108020,547.6105,430.91565,0.109803,,
501,BlazingSQL,T,T,F,64,2080ti,-,4,Q17,T,T,2,3,6,3,2,F,F,255.903,40.448,0,41,59405.27,85.1583,68419,501.24153,431.41303,0.069826,,
502,BlazingSQL,T,T,F,64,2080ti,-,4,Q18,T,T,2,2,8,4,3,F,T,313.757,116.064,887,196,96276.37,68.9579,75638,568.42119,428.69396,0.111033,,
503,BlazingSQL,T,T,F,64,2080ti,-,4,Q19,T,F,1,6,10,2,2,F,F,620.19,190.783,6,169,156951.55,91.2529,169117,601.21946,429.15035,0.072796,,
504,BlazingSQL,T,T,F,64,2080ti,-,4,Q20,T,T,2,3,17,5,5,F,T,440.029,157.407,19,252,44528.91,75.3243,52105,496.66037,437.4685,0.075615,,
505,BlazingSQL,T,T,F,64,2080ti,-,4,Q21,T,T,3,4,16,6,4,F,T,4645.925,961.914,1249691,1571,54857606.756,99.2073,41220400,55729.492543,433.45644,0.121382,,
506,BlazingSQL,T,T,F,64,2080ti,-,4,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
507,BlazingSQL,T,T,F,64,2080ti,-,8,Q1,T,F,0,7,7,1,1,F,T,344.351,81.887,241,140,155364.07,89.1768,171854,594.15733,419.85524,0.081899,,
508,BlazingSQL,T,T,F,64,2080ti,-,8,Q2,T,T,8,0,16,10,5,F,T,433.31,187.423,0,291,27992.38,64.5367,48394,477.05339,433.5636,0.115426,,
509,BlazingSQL,T,T,F,64,2080ti,-,8,Q3,T,F,2,4,10,3,3,F,T,341.087,114.687,195,167,58384.01,81.9981,61554,538.10408,466.81527,0.087145,,
510,BlazingSQL,T,T,F,64,2080ti,-,8,Q4,T,T,0,3,7,2,2,F,T,239.263,114.271,119,165,123702.02,91.3703,130785,572.30864,436.84226,0.080936,,
511,BlazingSQL,T,T,F,64,2080ti,-,8,Q5,T,F,5,4,16,6,6,F,T,360.862,108.413,120,166,57397.32,81.2488,68299,541.64188,470.91293,0.085084,,
512,BlazingSQL,T,T,F,64,2080ti,-,8,Q6,T,F,0,4,4,1,1,F,F,202.944,46.912,223,44,52923.84,85.0682,49419,495.88243,433.57316,0.095865,,
513,BlazingSQL,T,T,F,64,2080ti,-,8,Q7,T,T,5,5,15,6,5,F,T,517.118,174.912,283,266,115428.32,87.5465,121929,595.03369,463.10212,0.08355,,
514,BlazingSQL,T,T,F,64,2080ti,-,8,Q8,T,T,7,5,19,8,8,T,T,580.348,147.552,185,238,52885.69,76.7431,69237,510.8772,441.89082,0.073727,,
515,BlazingSQL,T,T,F,64,2080ti,-,8,Q9,T,T,5,6,16,6,6,F,T,331.39,86.208,263,157,314412.91,96.1353,320289,762.40972,435.28452,0.072542,,
516,BlazingSQL,T,T,F,64,2080ti,-,8,Q10,T,F,3,4,16,4,4,F,T,379.262,142.207,215,283,98966.27,87.6909,106564,572.77639,459.83482,0.083456,,
517,BlazingSQL,T,T,F,64,2080ti,-,8,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
518,BlazingSQL,T,T,F,64,2080ti,-,8,Q12,T,F,1,5,7,2,2,T,T,268,64.96,223,114,140596.31,92.5445,139706,592.34869,440.35347,0.072232,,
519,BlazingSQL,T,T,F,64,2080ti,-,8,Q13,T,T,1,0,6,2,2,F,T,113.728,42.624,86,71,614171.03,98.5927,616029,1058.000494,434.95687,0.106117,,
520,BlazingSQL,T,T,F,64,2080ti,-,8,Q14,T,F,1,4,6,2,2,T,F,302.78,81.375,252,72,41798.63,78.3229,39738,522.51131,469.06327,0.081008,,
521,BlazingSQL,T,T,F,64,2080ti,-,8,Q15,T,T,1,4,8,2,2,F,T,216.352,58.079,215,108,41959.14,79.4093,39854,513.04907,460.12057,0.08943,,
522,BlazingSQL,T,T,F,64,2080ti,-,8,Q16,T,T,1,0,8,3,3,F,T,432.702,183.325,320,328,248929.37,94.2125,254778,710.00644,445.67801,0.107318,,
523,BlazingSQL,T,T,F,64,2080ti,-,8,Q17,T,T,2,3,6,3,2,F,F,260.094,41.408,272,41,134124.9,92.6655,133590,612.03066,467.21698,0.072832,,
524,BlazingSQL,T,T,F,64,2080ti,-,8,Q18,T,T,2,2,8,4,3,F,T,318.912,116,90,195,171611.39,92.9521,168651,621.98966,437.25161,0.114648,,
525,BlazingSQL,T,T,F,64,2080ti,-,8,Q19,T,F,1,6,10,2,2,F,F,614.491,195.423,181,169,343395.55,95.7785,351784,792.83063,434.22753,0.072273,,
526,BlazingSQL,T,T,F,64,2080ti,-,8,Q20,T,T,2,3,17,5,5,F,T,448.124,158.207,198,258,94538.89,86.3814,96606,566.69714,457.18157,0.071961,,
527,BlazingSQL,T,T,F,64,2080ti,-,8,Q21,T,T,3,4,16,6,4,F,T,,,,,,,,,,,,
680,PG-Strom,F,F,F,64,2080ti,-,8,Q1,T,F,0,7,7,1,1,F,T,671511.63,672771.15,28866,503,1467930,,3696302,3490.142,5.98035,,,
528,BlazingSQL,T,T,F,64,2080ti,-,8,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
1,PG-Strom,F,F,F,48,1080ti,-,1,Q1,T,F,0,7,7,1,1,F,T,256409.36,119019,27752,69,349858.75,,692650,932.783,7.92201,,,
2,PG-Strom,F,F,F,48,1080ti,-,1,Q2,T,T,8,0,16,10,5,F,T,29128,1387.55,3194,5,4707.39,,263990,647.687,6.65967,,,
3,PG-Strom,F,F,F,48,1080ti,-,1,Q3,T,F,2,4,10,3,3,F,T,193630.63,154623.52,9376,23,26867.28,,1875320,2348.279,6.84828,,,
4,PG-Strom,F,F,F,48,1080ti,-,1,Q4,T,T,0,3,7,2,2,F,T,88181.79,57439.31,785,6,1543.57,,330200,703.732,6.07497,,,
5,PG-Strom,F,F,F,48,1080ti,-,1,Q5,T,F,5,4,16,6,6,F,T,70551.06,1880.18,9341,11,6883.92,,348900,708.663,7.64308,,,
6,PG-Strom,F,F,F,48,1080ti,-,1,Q6,T,F,0,4,4,1,1,F,F,254171.97,212921.26,17755,39,57437.91,,503940,963.648,6.79644,,,
7,PG-Strom,F,F,F,48,1080ti,-,1,Q7,T,T,5,5,15,6,5,F,T,64760.22,2934.68,7589,10,7814.36,,428790,784.825,8.79406,,,
8,PG-Strom,F,F,F,48,1080ti,-,1,Q8,T,T,7,5,19,8,8,T,T,60035.77,9939.86,5758,7,5535.39,,553710,953.468,6.19763,,,
9,PG-Strom,F,F,F,48,1080ti,-,1,Q9,T,T,5,6,16,6,6,F,T,,,,,,,1595020,-,,,,
10,PG-Strom,F,F,F,48,1080ti,-,1,Q10,T,F,3,4,16,4,4,F,T,,,,,,,1691020,-,,,,
11,PG-Strom,F,F,F,48,1080ti,-,1,Q11,T,T,4,0,8,6,3,F,T,28446.36,13044.75,2111,8,6919.95,,315800,905.157,7.99014,,,
12,PG-Strom,F,F,F,48,1080ti,-,1,Q12,T,F,1,5,7,2,2,T,T,247701.88,150184.25,8999,32,22571.74,,964020,1374.62,8.46497,,,
13,PG-Strom,F,F,F,48,1080ti,-,1,Q13,T,T,1,0,6,2,2,F,T,24707.96,19007.83,2848,6,73445.68,,717734,1093.166,7.24517,,,
14,PG-Strom,F,F,F,48,1080ti,-,1,Q14,T,F,1,4,6,2,2,T,F,157909.91,148511.11,5541,26,13264.24,,911380,1271.028,9.22595,,,
15,PG-Strom,F,F,F,48,1080ti,-,1,Q15,T,T,1,4,8,2,2,F,T,288036.82,271752.04,2908,17,8422.68,,592230,941.042,5.89965,,,
16,PG-Strom,F,F,F,48,1080ti,-,1,Q16,T,T,1,0,8,3,3,F,T,10485.6,2459.84,1950,4,5080.13,,708070,904.566,7.73685,,,
17,PG-Strom,F,F,F,48,1080ti,-,1,Q17,T,T,2,3,6,3,2,F,F,215142.64,200673.62,30299,84,110021.73,,1867430,2178.353,9.43739,,,
18,PG-Strom,F,F,F,48,1080ti,-,1,Q18,T,T,2,2,8,4,3,F,T,100381.91,95842.47,6363,22,15047.41,,2705810,3397.448,8.23605,,,
19,PG-Strom,F,F,F,48,1080ti,-,1,Q19,T,F,1,6,10,2,2,F,F,157430.91,150014.16,3671,20,47133.88,,946620,1294.909,8.43606,,,
20,PG-Strom,F,F,F,48,1080ti,-,1,Q20,T,T,2,3,17,5,5,F,T,,,,,,,,err,,,,
21,PG-Strom,F,F,F,48,1080ti,-,1,Q21,T,T,3,4,16,6,4,F,T,214575.98,169858.85,16336,24,34186.37,,1149620,1437.177,7.5011,,,
22,PG-Strom,F,F,F,48,1080ti,-,1,Q22,T,T,0,0,4,3,2,F,T,,,,,,,349890,-,,,,
23,PG-Strom,F,F,F,48,1080ti,-,2,Q1,T,F,0,7,7,1,1,F,T,505124.6,469136.64,44679,129,650733.38,,1092424,1543.638,6.84884,,,
24,PG-Strom,F,F,F,48,1080ti,-,2,Q2,T,T,8,0,16,10,5,F,T,95948.47,46195.03,5298,9,19173.03,,418391,887.798,7.75231,,,
25,PG-Strom,F,F,F,48,1080ti,-,2,Q3,T,F,2,4,10,3,3,F,T,330858.72,292788.93,15459,41,47666.88,,3872026,4333.335,7.05677,,,
26,PG-Strom,F,F,F,48,1080ti,-,2,Q4,T,T,0,3,7,2,2,F,T,157189.33,117875.34,1420,10,3178.49,,446761,878.581,5.95088,,,
27,PG-Strom,F,F,F,48,1080ti,-,2,Q5,T,F,5,4,16,6,6,F,T,114333.82,91382.28,10206,16,14403.45,,903243,1248.531,7.95826,,,
28,PG-Strom,F,F,F,48,1080ti,-,2,Q6,T,F,0,4,4,1,1,F,F,497525.29,466569.81,33789,69,111730.25,,816674,1270.231,6.40629,,,
29,PG-Strom,F,F,F,48,1080ti,-,2,Q7,T,T,5,5,15,6,5,F,T,130938.14,20731.13,13580,15,14759.22,,648366,1027.522,7.09396,,,
30,PG-Strom,F,F,F,48,1080ti,-,2,Q8,T,T,7,5,19,8,8,T,T,124580.59,66996.61,9585,11,9707.71,,1098516,1446.275,5.9783,,,
31,PG-Strom,F,F,F,48,1080ti,-,2,Q9,T,T,5,6,16,6,6,F,T,520783.59,493836.11,34521,34,99606.03,,2485207,2773.429,6.25752,,,
32,PG-Strom,F,F,F,48,1080ti,-,2,Q10,T,F,3,4,16,4,4,F,T,277047.81,283130.41,12875,43,46622.85,,3082184,3627.501,8.14331,,,
33,PG-Strom,F,F,F,48,1080ti,-,2,Q11,T,T,4,0,8,6,3,F,T,113844.48,74293.81,10306,20,13174.4,,399070,990.858,8.24217,,,
34,PG-Strom,F,F,F,48,1080ti,-,2,Q12,T,F,1,5,7,2,2,T,T,347463.08,311514.34,11044,53,50430.69,,1752743,2186.554,8.35,,,
35,PG-Strom,F,F,F,48,1080ti,-,2,Q13,T,T,1,0,6,2,2,F,T,,,,,,,,-,,,,
36,PG-Strom,F,F,F,48,1080ti,-,2,Q14,T,F,1,4,6,2,2,T,F,240695.36,234379.38,6294,41,25184.62,,1622841,2066.866,9.93175,,,
37,PG-Strom,F,F,F,48,1080ti,-,2,Q15,T,T,1,4,8,2,2,F,T,529702.65,512337.39,5773,35,19277.92,,975643,1626.101,9.36889,,,
38,PG-Strom,F,F,F,48,1080ti,-,2,Q16,T,T,1,0,8,3,3,F,T,37180.29,31909.09,2347,8,10018.06,,896385,1151.819,6.9786,,,
39,PG-Strom,F,F,F,48,1080ti,-,2,Q17,T,T,2,3,6,3,2,F,F,377755.4,362364.66,51663,159,243203.61,,3557763,4008.031,9.46575,,,
40,PG-Strom,F,F,F,48,1080ti,-,2,Q18,T,T,2,2,8,4,3,F,T,,,,,,,,,,,,
41,PG-Strom,F,F,F,48,1080ti,-,2,Q19,T,F,1,6,10,2,2,F,F,245677.67,236959.87,4938,35,106063.47,,1751388,2183.057,8.47109,,,
42,PG-Strom,F,F,F,48,1080ti,-,2,Q20,T,T,2,3,17,5,5,F,T,,,,,,,,err,,,,
43,PG-Strom,F,F,F,48,1080ti,-,2,Q21,T,T,3,4,16,6,4,F,T,361309.35,314405.46,21838,42,73596.34,,2069358,2488.22,8.20149,,,
44,PG-Strom,F,F,F,48,1080ti,-,2,Q22,T,T,0,0,4,3,2,F,T,6201.15,5387.6,87,1,1196.16,,846681,1278.241,6.05336,,,
45,PG-Strom,F,F,F,48,1080ti,-,4,Q1,T,F,0,7,7,1,1,F,T,1006640,989344.35,73898,255,1306640,,1989211,2643.569,6.74665,,,
46,PG-Strom,F,F,F,48,1080ti,-,4,Q2,T,T,8,0,16,10,5,F,T,262632.78,230970.41,21838,30,47045.77,,840212,1245.091,10.57317,,,
47,PG-Strom,F,F,F,48,1080ti,-,4,Q3,T,F,2,4,10,3,3,F,T,1153930,1174980,74583,82,163551.8,,2380892,2776.569,8.26393,,,
48,PG-Strom,F,F,F,48,1080ti,-,4,Q4,T,T,0,3,7,2,2,F,T,258718.67,243207.97,3355,16,8429.85,,833479,1205.658,6.47212,,,
49,PG-Strom,F,F,F,48,1080ti,-,4,Q5,T,F,5,4,16,6,6,F,T,173491.71,142203.57,12019,23,28798.32,,1636336,1976.841,8.41742,,,
50,PG-Strom,F,F,F,48,1080ti,-,4,Q6,T,F,0,4,4,1,1,F,F,994690.11,982201.99,65239,129,219460.08,,1666213,2093.978,6.32923,,,
51,PG-Strom,F,F,F,48,1080ti,-,4,Q7,T,T,5,5,15,6,5,F,T,432741.42,408900.37,26805,67,87778.53,,4188113,4788.539,7.10267,,,
52,PG-Strom,F,F,F,48,1080ti,-,4,Q8,T,T,7,5,19,8,8,T,T,176826.75,140872.62,9715,23,33802.38,,2401844,2811.412,8.211,,,
53,PG-Strom,F,F,F,48,1080ti,-,4,Q9,T,T,5,6,16,6,6,F,T,1033770,1033500,69294,64,155016.03,,4906714,5428.448,6.06425,,,
54,PG-Strom,F,F,F,48,1080ti,-,4,Q10,T,F,3,4,16,4,4,F,T,492248.32,516617.42,23048,81,86683.92,,6281022,6879.66,7.84438,,,
55,PG-Strom,F,F,F,48,1080ti,-,4,Q11,T,T,4,0,8,6,3,F,T,272158.33,192372.96,22054,37,29449.89,,723153,1195.87,8.00961,,,
56,PG-Strom,F,F,F,48,1080ti,-,4,Q12,T,F,1,5,7,2,2,T,T,617246,611423.1,18890,96,82687.6,,3635804,4159.796,8.17332,,,
57,PG-Strom,F,F,F,48,1080ti,-,4,Q13,T,T,1,0,6,2,2,F,T,,,,,,,,-,,,,
58,PG-Strom,F,F,F,48,1080ti,-,4,Q14,T,F,1,4,6,2,2,T,F,428446.12,418536.12,13990,72,56522.99,,3390210,3985.339,8.23246,,,
59,PG-Strom,F,F,F,48,1080ti,-,4,Q15,T,T,1,4,8,2,2,F,T,1022230,1037350,11080,65,104756.59,,1914490,2624.04,7.36306,,,
60,PG-Strom,F,F,F,48,1080ti,-,4,Q16,T,T,1,0,8,3,3,F,T,68522.26,63602.02,4760,14,20391.92,,1700317,2011.851,7.11168,,,
61,PG-Strom,F,F,F,48,1080ti,-,4,Q17,T,T,2,3,6,3,2,F,F,724843.51,704237.99,94602,314,486513.66,,7461253,8228.799,9.01294,,,
62,PG-Strom,F,F,F,48,1080ti,-,4,Q19,T,F,1,6,10,2,2,F,F,423912.84,420761.51,10008,66,216795.84,,3655065,4145.819,8.11482,,,
63,PG-Strom,F,F,F,48,1080ti,-,4,Q20,T,T,2,3,17,5,5,F,T,,,,,,,,,,,,
64,PG-Strom,F,F,F,48,1080ti,-,4,Q21,T,T,3,4,16,6,4,F,T,641024.49,598869.16,40477,80,143163.58,,4321109,4842.859,7.11227,,,
65,PG-Strom,F,F,F,48,1080ti,-,4,Q22,T,T,0,0,4,3,2,F,T,34708.04,21828.44,324,3,1975.64,,1673079,2076.83,6.25929,,,
66,PG-Strom,F,F,F,48,1080ti,-,8,Q1,T,F,0,7,7,1,1,F,T,1987090,2045780,175885,499,2482620,,3752363,4243.191,9.04293,,,
67,PG-Strom,F,F,F,48,1080ti,-,8,Q2,T,T,8,0,16,10,5,F,T,577779.45,511087.77,43484,44,90842.25,,1493911,1959.1,10.73004,,,
68,PG-Strom,F,F,F,48,1080ti,-,8,Q3,T,F,2,4,10,3,3,F,T,2236250,2319320,143161,160,216907.84,,4615561,5107.308,8.14231,,,
69,PG-Strom,F,F,F,48,1080ti,-,8,Q4,T,T,0,3,7,2,2,F,T,499378.04,481512.28,9528,31,13661.35,,1464685,2044.942,6.22743,,,
70,PG-Strom,F,F,F,48,1080ti,-,8,Q5,T,F,5,4,16,6,6,F,T,1010340,973903.94,70649,162,492727.96,,11296787,12246.327,9.63785,,,
71,PG-Strom,F,F,F,48,1080ti,-,8,Q6,T,F,0,4,4,1,1,F,F,1987480,2040770,131941,253,452352.65,,2917427,3616.002,6.38867,,,
72,PG-Strom,F,F,F,48,1080ti,-,8,Q7,T,T,5,5,15,6,5,F,T,1186510,1178090,77526,155,239415.54,,6975711,7738.661,7.35241,,,
