#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	37.93	19.25	53.45	62	51	12	692.65	532.83	576.85	1702.882
2	58.8	30.37	64.28	91	89	14	1217.23	1130.99	884.27	3377.981
3	97.9	51.84	93.78	119	106	17	2005.45	1864.89	1424.18	6352.206
4	194.77	108.35	109.03	411	185	43	3523.44	3770.22	2559.02	14456.352
5	NaN	NaN	117.13	777	680	47	8662.22	6915.65	5071.58	25729.395
6	NaN	NaN	NaN	867	693	82	13714.37	13683.33	10174.47	51368.827
7	NaN	NaN	NaN	NaN	NaN	175	77725.598	78164.76	32397.54	105046.151
8	NaN	NaN	NaN	NaN	NaN	NaN	155484.586	144322.87	61377.76	204650.459
