#	omni2080	omni2080*2	omni3090	omni3090*2
1	348	125	43	21
2	82879	88273	258	244
3	879	886	101	122
4	7594	7744	1025	1021
5	83	81	25	18
6	13	11	10	6
7	91	67	24	16
8	118	104	43	33
9	168	126	76	58
10	574	972	35	36
11	335	342	81	66
12	63	62	17	13
13	108178	116943	1722406	1884168
14	29	25	16	13
15	166	167	64	55
16	11592	11618	788	804
17	2402	2349	312	318
18	6309	9854	667	1170
19	78	57	38	26
20	11617	17461	1572	1452	
21	NaN	NaN	NaN	NaN
22	NaN	NaN	NaN	NaN
