#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	48.53	26.78	13.94	11	14	6	503.94	556.47	531.95	345.141
2	85	36.04	16.98	11	13	6	921.64	1042.04	838.06	674.479
3	174.6	67.28	21.74	9	10	5	1513.41	1618.87	1342.64	1188.396
4	333.87	115.35	25.15	16	18	10	2819.57	2790.02	2491.21	2186.114
5	NaN	NaN	26.94	14	16	9	6117.82	5412.7	4896.69	4031.726
6	NaN	NaN	NaN	27	25	16	11353.63	11350	9236.44	9458.879
7	NaN	NaN	NaN	NaN	NaN	29	74139.91	69925.85	33141.81	26645.203
8	NaN	NaN	NaN	NaN	NaN	NaN	132363.22	123255.46	64011.62	74331.465
