Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
34,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,261.151,61.408,0,114,33399.65,,43928,490.94024,446.30197
35,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,109.407,60.384,0,71,156858.46000000002,,167468,611.93478,445.92672
36,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,317.31,75.712,0,72,8457.46,,17117,442.75915,423.34841
37,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,221.981,64.352,0,104,8495.41,,15974,433.54464,414.70492
38,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,420.96,170.463,0,327,45855.86,,59033,475.69825,414.16998
39,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,256.798,40.864,0,41,26997.25,,36898,450.62284,413.52776
40,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,307.646,113.632,0,192,27981.989999999998,,40500,455.35569,413.76383
41,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,593.404,189.343,0,169,74713.26000000001,,87964,509.74205,419.84064
42,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,434.462,156.958,0,253,20100.58,,32888,449.70165,415.11742
43,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,4611.946,932.443,405881,1565,17815255.987,,15216976,18445.988105,429.96647
44,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
45,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,339.902,81.022,1,140,76411.42000000001,,99101,563.83333,470.8766
46,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,438.558,191.647,14,308,17571.07,,37243,478.09852,444.99383
47,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,333.206,102.495,15,165,26661.460000000003,,38940,481.82386,442.92598
48,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,236.447,104.192,3,165,59446.56,,73968,508.00101,437.39956
49,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,352.703,111.552,98,167,31951.82,,44760,485.04265,440.04862
50,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,191.551,55.008,0,44,22059.4,,29163,475.46225,444.33298
51,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,522.012,184.766,472,266,57278.31,,71997,511.44592,438.78255
52,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,594.974,143.198,173,244,30910.16,,45135,489.50256,442.29518
53,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,300.959,84.704,260,157,149438.19,,173367,594.14838,432.52408
54,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,377.536,142.751,3,281,47917.0,,58066,525.14936,462.85655
55,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
56,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,273.982,63.008,5,114,67234.93999999999,,75823,526.12663,447.86305
57,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,115.552,43.871,254,71,307149.35000000003,,309803,748.78022,432.80307
58,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,302.396,76.48,3,72,16845.18,,25175,466.8264,439.16621
59,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,213.568,67.295,5,106,16938.97,,24441,467.52035,440.25607
60,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,431.773,169.533,260,326,101656.64,,109982,546.46967,429.63347
61,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,257.888,40.544,0,41,59416.939999999995,,69768,504.04075,434.18584
62,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,323.839,117.216,974,196,96577.44,,77924,594.00996,453.77605
63,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,606.687,211.264,1,169,157124.0,,169647,609.38588,437.05041
64,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,433.82,164.125,24,247,43929.119999999995,,53143,497.58734,439.45232
65,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,,,,,,,41226862,,
66,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
67,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,342.047,82.112,203,140,184283.63999999998,,176788,655.33887,452.221947
68,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,426.877,183.006,0,286,27574.43,,51956,488.09752,445.31094
69,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,332.831,103.328,257,167,59141.869999999995,,63492,510.01882,438.77713
70,BlazingSQL,T,T,F,48,2080ti,11,-,8,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,237.597,113.44,123,165,123006.12,,132018,588.26358,453.83605
