Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
45,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q1,T,F,0,7,7,1,1,F,T,339.902,81.022,1,140,76411.42,99101
46,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q2,T,T,8,0,16,10,5,F,T,438.558,191.647,14,308,17571.07,37243
47,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q3,T,F,2,4,10,3,3,F,T,333.206,102.495,15,165,26661.46,38940
48,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q4,T,T,0,3,7,2,2,F,T,236.447,104.192,3,165,59446.56,73968
49,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q5,T,F,5,4,16,6,6,F,T,352.703,111.552,98,167,31951.82,44760
50,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q6,T,F,0,4,4,1,1,F,F,191.551,55.008,0,44,22059.4,29163
51,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q7,T,T,5,5,15,6,5,F,T,522.012,184.766,472,266,57278.31,71997
52,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q8,T,T,7,5,19,8,8,T,T,594.974,143.198,173,244,30910.16,45135
53,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q9,T,T,5,6,16,6,6,F,T,300.959,84.704,260,157,149438.19,173367
54,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q10,T,F,3,4,16,4,4,F,T,377.536,142.751,3,281,47917,58066
55,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q11,T,T,4,0,8,6,3,F,T,,,,,,
56,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q12,T,F,1,5,7,2,2,T,T,273.982,63.008,5,114,67234.94,75823
57,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q13,T,T,1,0,6,2,2,F,T,115.552,43.871,254,71,307149.35,309803
58,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q14,T,F,1,4,6,2,2,T,F,302.396,76.48,3,72,16845.18,25175
