Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
710,PG-Strom,F,F,F,32,1080ti,11,2,484,Q4,T,T,0,3,7,2,2,F,T,156310.29,113968.6,1304,10,5182.99,438881
711,PG-Strom,F,F,F,32,1080ti,11,2,484,Q5,T,F,5,4,16,6,6,F,T,113333.83,96302.24,9479,16,14100.4,850875
712,PG-Strom,F,F,F,32,1080ti,11,2,484,Q6,T,F,0,4,4,1,1,F,F,491432.59,442531.38,38530,69,108855.82,777876
713,PG-Strom,F,F,F,32,1080ti,11,2,484,Q7,T,T,5,5,15,6,5,F,T,127541.4,20630.4,13537,15,14344.74,639605
714,PG-Strom,F,F,F,32,1080ti,11,2,484,Q8,T,T,7,5,19,8,8,T,T,122615.89,67397,10234,11,10640.41,1025585
715,PG-Strom,F,F,F,32,1080ti,11,2,484,Q9,T,T,5,6,16,6,6,F,T,520874.78,466016.43,33789,34,94224.09,2293928
716,PG-Strom,F,F,F,32,1080ti,11,2,484,Q10,T,F,3,4,16,4,4,F,T,279032.16,282935.97,13598,43,46634.26,3064724
717,PG-Strom,F,F,F,32,1080ti,11,2,484,Q11,T,T,4,0,8,6,3,F,T,112598.13,76746.91,10323,20,14495.35,395549
718,PG-Strom,F,F,F,32,1080ti,11,2,484,Q12,T,F,1,5,7,2,2,T,T,345592.26,304878.28,12403,53,43668.29,1725607
719,PG-Strom,F,F,F,32,1080ti,11,2,484,Q13,T,T,1,0,6,2,2,F,T,,,,,,
720,PG-Strom,F,F,F,32,1080ti,11,2,484,Q14,T,F,1,4,6,2,2,T,F,248557.04,235338.18,6711,41,23907.05,1612925
721,PG-Strom,F,F,F,32,1080ti,11,2,484,Q15,T,T,1,4,8,2,2,F,T,506490.64,507272.98,5991,34,34096.14,937125
722,PG-Strom,F,F,F,32,1080ti,11,2,484,Q16,T,T,1,0,8,3,3,F,T,37120.52,31959.16,2405,8,11090.17,897343
723,PG-Strom,F,F,F,32,1080ti,11,2,484,Q17,T,T,2,3,6,3,2,F,F,382606.45,368456.19,50758,159,242492.17,3514859
724,PG-Strom,F,F,F,32,1080ti,11,2,484,Q18,T,T,2,2,8,4,3,F,T,,,,,,
725,PG-Strom,F,F,F,32,1080ti,11,2,484,Q19,T,F,1,6,10,2,2,F,F,245474.23,233694.02,7251,35,106284.69,1739518
726,PG-Strom,F,F,F,32,1080ti,11,2,484,Q20,T,T,2,3,17,5,5,F,T,,,,,,
727,PG-Strom,F,F,F,32,1080ti,11,2,484,Q21,T,T,3,4,16,6,4,F,T,361356.91,315318.34,23055,41,80200.24,2057747
728,PG-Strom,F,F,F,32,1080ti,11,2,484,Q22,T,T,0,0,4,3,2,F,T,6120.81,5304.76,90,1,1248.29,843587
729,PG-Strom,F,F,F,32,1080ti,11,4,484,Q1,T,F,0,7,7,1,1,F,T,993838.49,938467.71,71486,251,1301070,1857281
730,PG-Strom,F,F,F,32,1080ti,11,4,484,Q2,T,T,8,0,16,10,5,F,T,272505.85,222717.02,23050,30,53086.43,816370
731,PG-Strom,F,F,F,32,1080ti,11,4,484,Q3,T,F,2,4,10,3,3,F,T,1129870,1095470,75418,82,163447.69,2248398
732,PG-Strom,F,F,F,32,1080ti,11,4,484,Q4,T,T,0,3,7,2,2,F,T,257240.39,234368.95,3125,16,8137.02,759020
733,PG-Strom,F,F,F,32,1080ti,11,4,484,Q5,T,F,5,4,16,6,6,F,T,175493.88,140231.03,12383,23,26393.93,1543852
734,PG-Strom,F,F,F,32,1080ti,11,4,484,Q6,T,F,0,4,4,1,1,F,F,980046.05,943504.31,73450,131,213591.36,1475488
735,PG-Strom,F,F,F,32,1080ti,11,4,484,Q7,T,T,5,5,15,6,5,F,T,430059.44,412028.63,27437,67,95155.97,4199711
736,PG-Strom,F,F,F,32,1080ti,11,4,484,Q8,T,T,7,5,19,8,8,T,T,175349.75,142015.21,9209,23,32548.42,2279252
737,PG-Strom,F,F,F,32,1080ti,11,4,484,Q9,T,T,5,6,16,6,6,F,T,1017510,976451.09,69672,64,159861.69,4751552
738,PG-Strom,F,F,F,32,1080ti,11,4,484,Q10,T,F,3,4,16,4,4,F,T,497771.46,517743.5,23790,81,91517.75,6133412
739,PG-Strom,F,F,F,32,1080ti,11,4,484,Q11,T,T,4,0,8,6,3,F,T,272017.16,189062.73,22080,37,30946.59,653916
740,PG-Strom,F,F,F,32,1080ti,11,4,484,Q12,T,F,1,5,7,2,2,T,T,621787.37,599816.65,18772,96,83077.76,3584654
741,PG-Strom,F,F,F,32,1080ti,11,4,484,Q13,T,T,1,0,6,2,2,F,T,,,,,,
742,PG-Strom,F,F,F,32,1080ti,11,4,484,Q14,T,F,1,4,6,2,2,T,F,425299.95,416531.93,9834,72,54059.6,3339130
743,PG-Strom,F,F,F,32,1080ti,11,4,484,Q15,T,T,1,4,8,2,2,F,T,995844.41,1028800,10660,65,95143.93,1852558
744,PG-Strom,F,F,F,32,1080ti,11,4,484,Q16,T,T,1,0,8,3,3,F,T,68606.09,63645.35,4548,14,20709.74,1695037
745,PG-Strom,F,F,F,32,1080ti,11,4,484,Q17,T,T,2,3,6,3,2,F,F,723891.9,699686.7,94012,314,483609.17,7469115
746,PG-Strom,F,F,F,32,1080ti,11,4,484,Q19,T,F,1,6,10,2,2,F,F,425959.17,417768.88,9628,66,211477.82,3615428
747,PG-Strom,F,F,F,32,1080ti,11,4,484,Q21,T,T,3,4,16,6,4,F,T,634581.91,597111.58,42843,80,146256.95,4314667
748,PG-Strom,F,F,F,32,1080ti,11,4,484,Q22,T,T,0,0,4,3,2,F,T,34380.64,21449.07,342,3,2218.4,1694859
749,PG-Strom,F,F,F,32,1080ti,11,8,484,Q1,T,F,0,7,7,1,1,F,T,1968960,1960840,180782,499,2462110,3997766
750,PG-Strom,F,F,F,32,1080ti,11,8,484,Q2,T,T,8,0,16,10,5,F,T,587226.51,504919.8,44671,44,89483.08,1581668
751,PG-Strom,F,F,F,32,1080ti,11,8,484,Q3,T,F,2,4,10,3,3,F,T,2193080,2171200,140776,160,212627.72,4394411
752,PG-Strom,F,F,F,32,1080ti,11,8,484,Q4,T,T,0,3,7,2,2,F,T,480324.45,475088.01,12038,30,15697.26,1438066
753,PG-Strom,F,F,F,32,1080ti,11,8,484,Q5,T,F,5,4,16,6,6,F,T,1015380,977703.86,71229,162,501558.53,11187510
754,PG-Strom,F,F,F,32,1080ti,11,8,484,Q6,T,F,0,4,4,1,1,F,F,1951590,1932790,133932,251,427787.29,2709410
755,PG-Strom,F,F,F,32,1080ti,11,8,484,Q7,T,T,5,5,15,6,5,F,T,1191560,1145870,74329,155,263628.45,6868453
756,PG-Strom,F,F,F,32,1080ti,11,8,484,Q8,T,T,7,5,19,8,8,T,T,938520.35,917668.78,59923,160,354396.13,9654887
757,PG-Strom,F,F,F,32,1080ti,11,8,484,Q9,T,T,5,6,16,6,6,F,T,2182830,2158670,157986,156,393859.69,9596670
758,PG-Strom,F,F,F,32,1080ti,11,8,484,Q10,T,F,3,4,16,4,4,F,T,2232610,2221140,136390,155,252474.18,5403966
759,PG-Strom,F,F,F,32,1080ti,11,8,484,Q11,T,T,4,0,8,6,3,F,T,571249.37,484118.05,44261,65,60429.21,1175122
760,PG-Strom,F,F,F,32,1080ti,11,8,484,Q12,T,F,1,5,7,2,2,T,T,1156920,1176820,35547,187,182229.61,6512190
761,PG-Strom,F,F,F,32,1080ti,11,8,484,Q14,T,F,1,4,6,2,2,T,F,781236.58,782419.39,14350,139,98995.61,6062475
762,PG-Strom,F,F,F,32,1080ti,11,8,484,Q15,T,T,1,4,8,2,2,F,T,1953510,2069620,21533,125,202967.24,3415219
763,PG-Strom,F,F,F,32,1080ti,11,8,484,Q16,T,T,1,0,8,3,3,F,T,131364.23,127802.78,8713,25,45841.52,3379719
764,PG-Strom,F,F,F,32,1080ti,11,8,484,Q17,T,T,2,3,6,3,2,F,F,1411940,1389850,183198,624,1007720,14987948
765,PG-Strom,F,F,F,32,1080ti,11,8,484,Q19,T,F,1,6,10,2,2,F,F,780928.7,779999.35,15949,130,405425.18,6599152
766,PG-Strom,F,F,F,32,1080ti,11,8,484,Q21,T,T,3,4,16,6,4,F,T,,,,,,
767,PG-Strom,F,F,F,32,1080ti,11,8,484,Q22,T,T,0,0,4,3,2,F,T,95260.65,62049.23,1429,6,4793.98,3408563
768,PG-Strom,F,F,F,32,1080ti,11,16,484,Q1,T,F,0,7,7,1,1,F,T,3952300,3964110,346463,991,5044440,8920582
769,PG-Strom,F,F,F,32,1080ti,11,16,484,Q2,T,T,8,0,16,10,5,F,T,399449.4,351940.02,34710,62,186520.74,8870444
770,PG-Strom,F,F,F,32,1080ti,11,16,484,Q3,T,F,2,4,10,3,3,F,T,4318740,4333760,277911,314,408970.32,8651676
771,PG-Strom,F,F,F,32,1080ti,11,16,484,Q4,T,T,0,3,7,2,2,F,T,949137.97,957324.1,16074,59,76503.61,2746434
772,PG-Strom,F,F,F,32,1080ti,11,16,484,Q5,T,F,5,4,16,6,6,F,T,,,,,,
773,PG-Strom,F,F,F,32,1080ti,11,16,484,Q6,T,F,0,4,4,1,1,F,F,3898300,3918170,274325,497,860056.54,5500776
774,PG-Strom,F,F,F,32,1080ti,11,16,484,Q7,T,T,5,5,15,6,5,F,T,2319850,2296040,155113,314,476931.51,14066679
775,PG-Strom,F,F,F,32,1080ti,11,16,484,Q8,T,T,7,5,19,8,8,T,T,,,,,,
776,PG-Strom,F,F,F,32,1080ti,11,16,484,Q9,T,T,5,6,16,6,6,F,T,4509270,4520950,304796,315,800551.69,22194149
777,PG-Strom,F,F,F,32,1080ti,11,16,484,Q10,T,F,3,4,16,4,4,F,T,4339480,4423410,272497,305,445317.95,10770461
778,PG-Strom,F,F,F,32,1080ti,11,16,484,Q11,T,T,4,0,8,6,3,F,T,1160680,1077900,83952,119,108799.31,2328655
779,PG-Strom,F,F,F,32,1080ti,11,16,484,Q12,T,F,1,5,7,2,2,T,T,2250590,2328010,67787,364,322048.83,13123406
780,PG-Strom,F,F,F,32,1080ti,11,16,484,Q14,T,F,1,4,6,2,2,T,F,1484350,1542900,28842,268,172329.23,12136044
781,PG-Strom,F,F,F,32,1080ti,11,16,484,Q15,T,T,1,4,8,2,2,F,T,3942880,4144970,45900,248,461495.84,6812603
782,PG-Strom,F,F,F,32,1080ti,11,16,484,Q16,T,T,1,0,8,3,3,F,T,256769.33,254714.22,17123,47,80972.31,6885628
783,PG-Strom,F,F,F,32,1080ti,11,16,484,Q17,T,T,2,3,6,3,2,F,F,1342560,1364990,236152,994,1078330,17822279
784,PG-Strom,F,F,F,32,1080ti,11,16,484,Q19,T,F,1,6,10,2,2,F,F,1482250,1540360,37190,257,806774.16,13346331
785,PG-Strom,F,F,F,32,1080ti,11,16,484,Q21,T,T,3,4,16,6,4,F,T,,,,,,
786,PG-Strom,F,F,F,32,1080ti,11,16,484,Q22,T,T,0,0,4,3,2,F,T,166289.96,125921,2742,10,9697.6,7665054
787,PG-Strom,F,F,F,32,1080ti,11,32,484,Q1,T,F,0,7,7,1,1,F,T,7864590,8071540,713077,1975,9741850,24807834
788,PG-Strom,F,F,F,32,1080ti,11,32,484,Q2,T,T,8,0,16,10,5,F,T,751187.65,700871.27,55897,115,325599.54,19876678
789,PG-Strom,F,F,F,32,1080ti,11,32,484,Q3,T,F,2,4,10,3,3,F,T,8552830,8838700,555642,623,1046980,29996545
790,PG-Strom,F,F,F,32,1080ti,11,32,484,Q4,T,T,0,3,7,2,2,F,T,1804020,1923170,34591,115,62081.87,58006329
791,PG-Strom,F,F,F,32,1080ti,11,32,484,Q5,T,F,5,4,16,6,6,F,T,,,,,,
792,PG-Strom,F,F,F,32,1080ti,11,32,484,Q6,T,F,0,4,4,1,1,F,F,7784940,7982700,423691,989,1934540,39095940
793,PG-Strom,F,F,F,32,1080ti,11,32,484,Q7,T,T,5,5,15,6,5,F,T,4557110,4628540,291918,624,1268420,42641889
794,PG-Strom,F,F,F,32,1080ti,11,32,484,Q8,T,T,7,5,19,8,8,T,T,,,,,,
795,PG-Strom,F,F,F,32,1080ti,11,32,484,Q9,T,T,5,6,16,6,6,F,T,9406150,9609250,699469,701,2429500,48734453
796,PG-Strom,F,F,F,32,1080ti,11,32,484,Q10,T,F,3,4,16,4,4,F,T,8724700,8941710,500528,608,965968.1,34289250
797,PG-Strom,F,F,F,32,1080ti,11,32,484,Q11,T,T,4,0,8,6,3,F,T,2359150,2292180,167461,230,202748.96,4147546
798,PG-Strom,F,F,F,32,1080ti,11,32,484,Q12,T,F,1,5,7,2,2,T,T,4441200,4666230,139456,726,704047.39,35890770
799,PG-Strom,F,F,F,32,1080ti,11,32,484,Q14,T,F,1,4,6,2,2,T,F,2914430,3100560,48250,534,375567.59,44317294
800,PG-Strom,F,F,F,32,1080ti,11,32,484,Q15,T,T,1,4,8,2,2,F,T,7817000,8427860,88156,495,675968.51,43585287
801,PG-Strom,F,F,F,32,1080ti,11,32,484,Q16,T,T,1,0,8,3,3,F,T,513082.66,511672.84,33073,93,186142.25,13428084
802,PG-Strom,F,F,F,32,1080ti,11,32,484,Q17,T,T,2,3,6,3,2,F,F,,,,,,
803,PG-Strom,F,F,F,32,1080ti,11,32,484,Q19,T,F,1,6,10,2,2,F,F,2913140,3083470,55664,511,1618470,34627458
804,PG-Strom,F,F,F,32,1080ti,11,32,484,Q22,T,T,0,0,4,3,2,F,T,264053.06,257010.24,4278,16,18825.52,15046168
805,PG-Strom,F,F,F,32,1080ti,11,64,484,Q1,T,F,0,7,7,1,1,F,T,15696680,16161370,1400426,3941,19281120,41797636
806,PG-Strom,F,F,F,32,1080ti,11,64,484,Q2,T,T,8,0,16,10,5,F,T,,,,,,
807,PG-Strom,F,F,F,32,1080ti,11,64,484,Q3,T,F,2,4,10,3,3,F,T,17044600,17540130,1106871,1242,2146210,68926084
808,PG-Strom,F,F,F,32,1080ti,11,64,484,Q4,T,T,0,3,7,2,2,F,T,3561230,3845650,82443,227,131179.57,120525705
809,PG-Strom,F,F,F,32,1080ti,11,64,484,Q5,T,F,5,4,16,6,6,F,T,,,,,,
810,PG-Strom,F,F,F,32,1080ti,11,64,484,Q6,T,F,0,4,4,1,1,F,F,15559190,16005850,775289,1971,3893700,78743542
811,PG-Strom,F,F,F,32,1080ti,11,64,484,Q7,T,T,5,5,15,6,5,F,T,9047860,9222650,571774,1243,2579250,86032407
812,PG-Strom,F,F,F,32,1080ti,11,64,484,Q8,T,T,7,5,19,8,8,T,T,17184740,17716970,1227660,1277,2352730,78157964
813,PG-Strom,F,F,F,32,1080ti,11,64,484,Q9,T,T,5,6,16,6,6,F,T,18748310,19280020,1406530,1395,4932490,96291611
814,PG-Strom,F,F,F,32,1080ti,11,64,484,Q10,T,F,3,4,16,4,4,F,T,17434520,17948330,1016453,1242,2796430,78767015
815,PG-Strom,F,F,F,32,1080ti,11,64,484,Q11,T,T,4,0,8,6,3,F,T,4780360,4737320,340689,455,537868.43,8051987
816,PG-Strom,F,F,F,32,1080ti,11,64,484,Q12,T,F,1,5,7,2,2,T,T,8948180,9547720,277711,1440,1571280,96472869
817,PG-Strom,F,F,F,32,1080ti,11,64,484,Q14,T,F,1,4,6,2,2,T,F,5923050,6373610,94852,1058,731274.29,75181399
818,PG-Strom,F,F,F,32,1080ti,11,64,484,Q15,T,T,1,4,8,2,2,F,T,15723580,17108020,183574,988,1228490,79268026
819,PG-Strom,F,F,F,32,1080ti,11,64,484,Q16,T,T,1,0,8,3,3,F,T,1020600,1033560,67932,185,370287.03,27149278
820,PG-Strom,F,F,F,32,1080ti,11,64,484,Q19,T,F,1,6,10,2,2,F,F,5904420,6337130,118499,1019,3389990,69679363
821,PG-Strom,F,F,F,32,1080ti,11,64,484,Q22,T,T,0,0,4,3,2,F,T,507907.09,518552.02,10015,31,60100.93,30352958
822,PG-Strom,F,F,F,32,1080ti,11,128,484,Q1,T,F,0,7,7,1,1,F,T,31460640,32278760,2871021,7871,39174130,123633158
823,PG-Strom,F,F,F,32,1080ti,11,128,484,Q2,T,T,8,0,16,10,5,F,T,2809780,2782510,213541,438,1456110,
824,PG-Strom,F,F,F,32,1080ti,11,128,484,Q3,T,F,2,4,10,3,3,F,T,34059500,35066050,2233874,2480,4365700,196914806
825,PG-Strom,F,F,F,32,1080ti,11,128,484,Q4,T,T,0,3,7,2,2,F,T,7085650,7726990,153441,451,265624.51,260052629
826,PG-Strom,F,F,F,32,1080ti,11,128,484,Q6,T,F,0,4,4,1,1,F,F,31179420,32045090,1746639,3941,8092430,145367475
827,PG-Strom,F,F,F,32,1080ti,11,128,484,Q7,T,T,5,5,15,6,5,F,T,18146980,18557180,1153235,2481,5158350,162668823
828,PG-Strom,F,F,F,32,1080ti,11,128,484,Q8,T,T,7,5,19,8,8,T,T,34317300,35323820,2366526,2548,4850830,189878433
829,PG-Strom,F,F,F,32,1080ti,11,128,484,Q9,T,T,5,6,16,6,6,F,T,32553700,33467160,2306258,2303,5863270,309257011
830,PG-Strom,F,F,F,32,1080ti,11,128,484,Q10,T,F,3,4,16,4,4,F,T,34252300,35225140,1965337,2420,3840270,209774626
831,PG-Strom,F,F,F,32,1080ti,11,128,484,Q11,T,T,4,0,8,6,3,F,T,9676000,9717060,683602,898,870453.8,15706548
832,PG-Strom,F,F,F,32,1080ti,11,128,484,Q12,T,F,1,5,7,2,2,T,T,17500050,18724850,554189,2873,3097770,171791308
833,PG-Strom,F,F,F,32,1080ti,11,128,484,Q14,T,F,1,4,6,2,2,T,F,,,err,err,,156325078
834,PG-Strom,F,F,F,32,1080ti,11,128,484,Q15,T,T,1,4,8,2,2,F,T,31510590,34412800,374873,1973,2068650,151689413
835,PG-Strom,F,F,F,32,1080ti,11,128,484,Q16,T,T,1,0,8,3,3,F,T,2036150,2082140,140274,367,742331.55,58814292
836,PG-Strom,F,F,F,32,1080ti,11,128,484,Q19,T,F,1,6,10,2,2,F,F,32108090,32821310,1822308,4009,8778160,166034538
837,PG-Strom,F,F,F,32,1080ti,11,128,484,Q22,T,T,0,0,4,3,2,F,T,1013200,1031540,19134,62,184610.92,66321200
838,PG-Strom,F,F,F,64,1080ti,11,1,484,Q1,T,F,0,7,7,1,1,F,T,241673,117527.47,26942,69,350959.19,577765
839,PG-Strom,F,F,F,64,1080ti,11,1,484,Q2,T,T,8,0,16,10,5,F,T,13322.66,894.905,1387,4,4365.27,224944
840,PG-Strom,F,F,F,64,1080ti,11,1,484,Q3,T,F,2,4,10,3,3,F,T,191116.97,150461.23,9659,23,28014.6,1910938
841,PG-Strom,F,F,F,64,1080ti,11,1,484,Q4,T,T,0,3,7,2,2,F,T,88082.12,56841.35,741,6,1533.74,301329
842,PG-Strom,F,F,F,64,1080ti,11,1,484,Q5,T,F,5,4,16,6,6,F,T,69956.56,1841.31,8799,11,7096.93,328810
843,PG-Strom,F,F,F,64,1080ti,11,1,484,Q6,T,F,0,4,4,1,1,F,F,247512.9,196738.51,17820,37,57047.13,441830
844,PG-Strom,F,F,F,64,1080ti,11,1,484,Q7,T,T,5,5,15,6,5,F,T,70300.12,3015.23,9615,11,9903.37,393949
845,PG-Strom,F,F,F,64,1080ti,11,1,484,Q8,T,T,7,5,19,8,8,T,T,59741.23,9846.1,5465,7,4541.88,529168
846,PG-Strom,F,F,F,64,1080ti,11,1,484,Q9,T,T,5,6,16,6,6,F,T,,,,,,
847,PG-Strom,F,F,F,64,1080ti,11,1,484,Q10,T,F,3,4,16,4,4,F,T,,,,,,
848,PG-Strom,F,F,F,64,1080ti,11,1,484,Q11,T,T,4,0,8,6,3,F,T,39546.52,24693.32,3992,9,7197.47,270665
849,PG-Strom,F,F,F,64,1080ti,11,1,484,Q12,T,F,1,5,7,2,2,T,T,211615.31,165311.88,8353,32,24135.71,911677
850,PG-Strom,F,F,F,64,1080ti,11,1,484,Q13,T,T,1,0,6,2,2,F,T,24178.23,18973.5,2884,6,70582.3,623579
851,PG-Strom,F,F,F,64,1080ti,11,1,484,Q14,T,F,1,4,6,2,2,T,F,157922.25,148293.83,5944,26,13975.93,865528
852,PG-Strom,F,F,F,64,1080ti,11,1,484,Q15,T,T,1,4,8,2,2,F,T,257814.66,255752.79,2761,16,10021.23,527905
853,PG-Strom,F,F,F,64,1080ti,11,1,484,Q16,T,T,1,0,8,3,3,F,T,9827.41,2794.75,2391,4,6405.3,634938
854,PG-Strom,F,F,F,64,1080ti,11,1,484,Q17,T,T,2,3,6,3,2,F,F,212856.35,199080.02,31601,84,110283.9,1813944
855,PG-Strom,F,F,F,64,1080ti,11,1,484,Q18,T,T,2,2,8,4,3,F,T,99948.68,95756.64,6328,22,15227.26,2673311
856,PG-Strom,F,F,F,64,1080ti,11,1,484,Q19,T,F,1,6,10,2,2,F,F,158838.95,151396.93,3143,20,54369.9,909154
857,PG-Strom,F,F,F,64,1080ti,11,1,484,Q20,T,T,2,3,17,5,5,F,T,,,,,,
858,PG-Strom,F,F,F,64,1080ti,11,1,484,Q21,T,T,3,4,16,6,4,F,T,220846.77,171229.3,15251,24,46139.97,1108320
859,PG-Strom,F,F,F,64,1080ti,11,1,484,Q22,T,T,0,0,4,3,2,F,T,,,,,,353950
860,PG-Strom,F,F,F,64,1080ti,11,2,484,Q1,T,F,0,7,7,1,1,F,T,496658.76,448045.74,51256,131,623025.59,1113453
861,PG-Strom,F,F,F,64,1080ti,11,2,484,Q2,T,T,8,0,16,10,5,F,T,87932.73,40577.77,7671,11,15449.38,417061
862,PG-Strom,F,F,F,64,1080ti,11,2,484,Q3,T,F,2,4,10,3,3,F,T,328806.85,291441.22,15559,41,48990.98,3833897
863,PG-Strom,F,F,F,64,1080ti,11,2,484,Q4,T,T,0,3,7,2,2,F,T,146108.36,113501.14,1284,9,2938.33,441533
864,PG-Strom,F,F,F,64,1080ti,11,2,484,Q5,T,F,5,4,16,6,6,F,T,113454.99,92628.8,10061,16,13129.98,857302
865,PG-Strom,F,F,F,64,1080ti,11,2,484,Q6,T,F,0,4,4,1,1,F,F,492357.34,443878.53,34421,67,111211.78,802196
866,PG-Strom,F,F,F,64,1080ti,11,2,484,Q7,T,T,5,5,15,6,5,F,T,127012.22,20561.54,12273,15,15505.25,724181
867,PG-Strom,F,F,F,64,1080ti,11,2,484,Q8,T,T,7,5,19,8,8,T,T,122416.74,67448.51,9836,11,11023.29,1134849
868,PG-Strom,F,F,F,64,1080ti,11,2,484,Q9,T,T,5,6,16,6,6,F,T,513586.31,463860.96,32478,34,127449.67,2374976
869,PG-Strom,F,F,F,64,1080ti,11,2,484,Q10,T,F,3,4,16,4,4,F,T,277409.34,284757.51,13272,43,44135.33,3211321
870,PG-Strom,F,F,F,64,1080ti,11,2,484,Q11,T,T,4,0,8,6,3,F,T,112230.46,73834.83,10116,20,13835.69,417947
871,PG-Strom,F,F,F,64,1080ti,11,2,484,Q12,T,F,1,5,7,2,2,T,T,345298.38,305192.67,10792,53,54812.71,1742083
872,PG-Strom,F,F,F,64,1080ti,11,2,484,Q13,T,T,1,0,6,2,2,F,T,,,,,,
873,PG-Strom,F,F,F,64,1080ti,11,2,484,Q14,T,F,1,4,6,2,2,T,F,246042.15,233558.85,9252,41,25212.37,1610739
874,PG-Strom,F,F,F,64,1080ti,11,2,484,Q15,T,T,1,4,8,2,2,F,T,517450.49,512467.7,6399,35,35461.81,948935
875,PG-Strom,F,F,F,64,1080ti,11,2,484,Q16,T,T,1,0,8,3,3,F,T,37474.58,31954.94,2347,8,9904.55,895515
876,PG-Strom,F,F,F,64,1080ti,11,2,484,Q17,T,T,2,3,6,3,2,F,F,383151.15,366449.41,50788,159,220982.77,3515847
877,PG-Strom,F,F,F,64,1080ti,11,2,484,Q18,T,T,2,2,8,4,3,F,T,,,,,,
878,PG-Strom,F,F,F,64,1080ti,11,2,484,Q19,T,F,1,6,10,2,2,F,F,245683.16,236146.42,5868,35,106419.75,1741713
879,PG-Strom,F,F,F,64,1080ti,11,2,484,Q20,T,T,2,3,17,5,5,F,T,,,,,,
880,PG-Strom,F,F,F,64,1080ti,11,2,484,Q21,T,T,3,4,16,6,4,F,T,355289.27,314665.34,22874,42,71609.07,2068709
881,PG-Strom,F,F,F,64,1080ti,11,2,484,Q22,T,T,0,0,4,3,2,F,T,6112.42,5378.39,125,1,1169.25,846411
882,PG-Strom,F,F,F,64,1080ti,11,4,484,Q1,T,F,0,7,7,1,1,F,T,987325.03,946274.92,79254,255,1326600,1809766
883,PG-Strom,F,F,F,64,1080ti,11,4,484,Q2,T,T,8,0,16,10,5,F,T,264801.24,218814.19,22024,30,59403.62,824802
884,PG-Strom,F,F,F,64,1080ti,11,4,484,Q3,T,F,2,4,10,3,3,F,T,1138850,1099520,73560,82,121679.09,2226137
885,PG-Strom,F,F,F,64,1080ti,11,4,484,Q4,T,T,0,3,7,2,2,F,T,257131.53,234702.49,3260,16,7966.25,721574
886,PG-Strom,F,F,F,64,1080ti,11,4,484,Q5,T,F,5,4,16,6,6,F,T,175581.68,142019.47,11940,23,25972.08,1530219
887,PG-Strom,F,F,F,64,1080ti,11,4,484,Q6,T,F,0,4,4,1,1,F,F,979347.53,940324.22,66892,129,215827.47,1440539
888,PG-Strom,F,F,F,64,1080ti,11,4,484,Q7,T,T,5,5,15,6,5,F,T,433231.81,412604.18,26157,67,94538.72,4203863
889,PG-Strom,F,F,F,64,1080ti,11,4,484,Q8,T,T,7,5,19,8,8,T,T,176289.71,141746.19,8886,23,31506.42,2264610
890,PG-Strom,F,F,F,64,1080ti,11,4,484,Q9,T,T,5,6,16,6,6,F,T,1023880,976224.58,64218,64,240250.84,4575164
891,PG-Strom,F,F,F,64,1080ti,11,4,484,Q10,T,F,3,4,16,4,4,F,T,492372.93,515318.92,24095,81,90665.57,5685552
892,PG-Strom,F,F,F,64,1080ti,11,4,484,Q11,T,T,4,0,8,6,3,F,T,273395.02,186684.51,21613,37,31871.8,679567
893,PG-Strom,F,F,F,64,1080ti,11,4,484,Q12,T,F,1,5,7,2,2,T,T,622901.2,601739.42,19012,96,89373.62,3550263
894,PG-Strom,F,F,F,64,1080ti,11,4,484,Q14,T,F,1,4,6,2,2,T,F,427947.59,420304.98,9558,72,50742.34,3341121
895,PG-Strom,F,F,F,64,1080ti,11,4,484,Q15,T,T,1,4,8,2,2,F,T,996399.29,1027750,11428,65,96162.52,1811254
896,PG-Strom,F,F,F,64,1080ti,11,4,484,Q16,T,T,1,0,8,3,3,F,T,68410.22,63761.8,4493,14,20414.8,1683349
897,PG-Strom,F,F,F,64,1080ti,11,4,484,Q17,T,T,2,3,6,3,2,F,F,726113.73,704029.81,97068,315,486477.03,7483784
898,PG-Strom,F,F,F,64,1080ti,11,4,484,Q19,T,F,1,6,10,2,2,F,F,427971.95,419748.93,9714,66,214705.16,3601364
899,PG-Strom,F,F,F,64,1080ti,11,4,484,Q21,T,T,3,4,16,6,4,F,T,642380.99,594151.11,39938,80,137205.72,4373439
900,PG-Strom,F,F,F,64,1080ti,11,4,484,Q22,T,T,0,0,4,3,2,F,T,35106.73,21251.69,322,3,2037.3,1695040
901,PG-Strom,F,F,F,64,1080ti,11,8,484,Q1,T,F,0,7,7,1,1,F,T,1969300,1950270,161714,499,2493560,3966450
902,PG-Strom,F,F,F,64,1080ti,11,8,484,Q2,T,T,8,0,16,10,5,F,T,586635.03,508926.34,41985,44,94433.11,1491282
903,PG-Strom,F,F,F,64,1080ti,11,8,484,Q3,T,F,2,4,10,3,3,F,T,2191800,2169800,141701,160,271192.28,4355452
904,PG-Strom,F,F,F,64,1080ti,11,8,484,Q4,T,T,0,3,7,2,2,F,T,500307.71,480121.09,7296,31,23755.68,1451314
