Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,CC,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET,DT
1,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1a,T,F,5,0,12,5,5,F,F,94.276,108.288,,197,47882.425,86542.845,202.564
2,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1b,T,F,5,0,12,5,5,F,F,91.619,112.288,,204,22828.788,60897.827,203.907
3,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1c,T,F,5,0,12,5,5,F,F,94.916,104.351,,197,36000.741,77265.024,199.267
4,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1d,T,F,5,0,12,5,5,F,F,101.062,122.047,,205,22459.528,85758.686,223.109
5,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2a,T,F,5,0,10,5,5,F,F,,,,,,,
6,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2b,T,F,5,0,10,5,5,F,F,,,,,,,
7,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2c,T,F,5,0,10,5,5,F,F,,,,,,,
8,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2d,T,F,5,0,10,5,5,F,F,,,,,,,
9,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3a,T,F,4,0,9,4,4,F,F,77.694,55.264,,138,13336.375,41953.087,132.958
10,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3b,T,F,4,0,9,4,4,F,F,52.322,70.146,,148,5724.69,36093.95,122.468
11,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3c,T,F,4,0,9,4,4,F,F,91.681,49.54,,136,24196.016,53849.936,141.221
12,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4a,T,F,5,0,12,5,5,F,F,96.224,103.327,,185,11232.036,49528.122,199.551
13,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4b,T,F,5,0,12,5,5,F,F,76.42,91.94,,200,4541.244,45510.054,168.36
14,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4c,T,F,5,0,12,5,5,F,F,77.632,71.139,,174,13463.222,58972.12,148.771
15,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5a,T,F,5,0,11,5,5,F,F,,,,,,,
16,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5b,T,F,5,0,11,5,5,F,F,,,,,,,
17,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5c,T,F,5,0,11,5,5,F,F,,,,,,,
18,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6a,T,F,5,3,11,5,5,F,F,79.04,105.249,,204,45287.71,92391.73,184.289
19,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6b,T,F,5,3,11,5,5,F,F,,,,,,,
20,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6c,T,F,5,3,11,5,5,F,F,78.978,103.65,,194,45683.845,90462.446,182.628
21,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6d,T,F,5,3,11,5,5,F,F,,,,,,,
22,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6e,T,F,5,3,11,5,5,F,F,82.882,118.784,,206,47411.786,90753.794,201.666
23,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6f,T,F,5,3,11,5,5,F,F,,,,,,,
24,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7a,T,F,11,2,20,8,8,F,F,148.355,116.317,,279,43186.736,134310.007,264.672
25,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7b,T,F,11,2,20,8,8,F,F,152.641,121.852,,280,34569.914,138624.907,274.493
26,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7c,T,F,11,2,20,8,8,F,F,155.203,117.733,,283,158701.636,249201.775,272.936
27,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8a,T,F,8,4,17,7,7,F,F,,,,,,,
28,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8b,T,F,8,4,17,7,7,F,F,,,,,,,
29,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8c,T,F,8,4,17,7,7,F,F,,,,,,,
30,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8d,T,F,8,4,17,7,7,F,F,,,,,,,
31,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9a,T,F,9,3,22,8,8,F,F,,,,,,,
32,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9b,T,F,9,3,22,8,8,F,F,,,,,,,
33,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9c,T,F,9,3,22,8,8,F,F,,,,,,,
34,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9d,T,F,9,3,22,8,8,F,F,,,,,,,
35,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q10a,T,F,7,4,17,7,7,F,F,,,,,,,
36,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q10b,T,F,7,4,17,7,7,F,F,,,,,,,
37,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q10c,T,F,7,4,17,7,7,F,F,,,,,,,
38,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q11a,T,F,10,0,20,8,8,F,F,145.854,124.581,,272,12611.062,103660.107,270.435
39,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q11b,T,F,10,0,20,8,8,F,F,144.732,129.084,,273,21041.488,113787.889,273.816
40,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q11c,T,F,10,0,20,8,8,F,F,135.394,119.787,,261,2409032.608,2504184.961,255.181
41,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q11d,T,F,10,0,20,8,8,F,F,,,,,,,
42,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q12a,T,F,10,0,21,8,7,F,F,,,,,,,
43,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q12b,T,F,10,0,21,8,7,F,F,,,,,,,
44,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q12c,T,F,10,0,21,8,7,F,F,,,,,,,
45,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q13a,T,F,11,0,22,9,8,F,F,,,,,,,
46,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q13b,T,F,11,0,22,9,8,F,F,,,,,,,
47,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q13c,T,F,11,0,22,9,8,F,F,,,,,,,
48,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q13d,T,F,11,0,22,9,8,F,F,,,,,,,
49,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q14a,T,F,14,0,19,8,7,F,F,182.026,124.513,,301,17567.837,115440.13,306.539
50,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q14b,T,F,14,0,19,8,7,F,F,204.034,138.978,,278,55391.887,153216.362,343.012
51,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q14c,T,F,14,0,19,8,7,F,F,206.339,122.915,,296,19850.576,117723.942,329.254
52,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q15a,T,F,14,0,21,9,9,F,F,,,,,,,
53,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q15b,T,F,14,0,21,9,9,F,F,,,,,,,
54,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q15c,T,F,14,0,21,9,9,F,F,,,,,,,
55,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q15d,T,F,14,0,21,9,9,F,F,,,,,,,
56,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q16a,T,F,11,2,15,8,8,F,F,,,,,,,
57,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q16b,T,F,11,2,15,8,8,F,F,,,,,,,
58,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q16c,T,F,11,2,15,8,8,F,F,,,,,,,
59,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q16d,T,F,11,2,15,8,8,F,F,,,,,,,
60,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17a,T,F,9,2,13,7,7,F,F,,,,,,,
61,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17b,T,F,9,2,13,7,7,F,F,,,,,,,
62,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17c,T,F,9,2,13,7,7,F,F,,,,,,,
63,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17d,T,F,9,2,13,7,7,F,F,,,,,,,
64,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17e,T,F,9,2,13,7,7,F,F,,,,,,,
65,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q17f,T,F,9,2,13,7,7,F,F,,,,,,,
66,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q18a,T,F,9,3,18,7,6,F,F,132.738,132.835,,298,103102.623,194986.61,265.573
67,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q18b,T,F,9,3,18,7,6,F,F,192.207,180.638,,308,20746.564,124851.942,372.845
68,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q18c,T,F,9,3,18,7,6,F,F,165.852,127.874,,289,23887.901,82138.538,293.726
69,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q19a,T,F,13,5,25,10,10,F,F,,,,,,,
70,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q19b,T,F,13,5,25,10,10,F,F,,,,,,,
71,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q19c,T,F,13,5,25,10,10,F,F,,,,,,,
72,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q19d,T,F,13,5,25,10,10,F,F,,,,,,,
73,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q20a,T,F,12,3,23,10,9,F,F,143.235,125.729,,281,57960.862,136011.839,268.964
74,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q20b,T,F,12,3,23,10,9,F,F,162.086,120.797,,284,70892.914,146159.172,282.883
75,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q20c,T,F,12,3,23,10,9,F,F,,,,,,,
76,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q21a,T,F,14,0,24,9,9,F,F,205.386,149.382,,364,25362.703,89950.8,354.768
77,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q21b,T,F,14,0,24,9,9,F,F,180.165,151.464,,362,14228.409,99045.992,331.629
78,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q21c,T,F,14,0,24,9,9,F,F,188.128,139.268,,315,34230.123,120452.881,327.396
79,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q22a,T,F,16,0,29,11,10,F,F,,,,,,,
80,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q22b,T,F,16,0,29,11,10,F,F,,,,,,,
81,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q22c,T,F,16,0,29,11,10,F,F,,,,,,,
82,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q22d,T,F,16,0,29,11,10,F,F,,,,,,,
83,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q23a,T,F,16,0,25,11,11,F,F,,,,,,,
84,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q23b,T,F,16,0,25,11,11,F,F,,,,,,,
85,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q23c,T,F,16,0,25,11,11,F,F,,,,,,,
86,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q24a,T,F,18,5,29,12,12,F,F,,,,,,,
87,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q24b,T,F,18,5,29,12,12,F,F,,,,,,,
88,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q25a,T,F,14,2,22,9,8,F,F,235.814,182.053,,452,31522.381,147098.303,417.867
89,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q25b,T,F,14,2,22,9,8,F,F,222.432,181.351,,421,28286.923,119751.692,403.783
90,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q25c,T,F,14,2,22,9,8,F,F,205.35,171.136,,402,47048.989,134975.195,376.486
91,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q26a,T,F,17,3,30,12,11,F,F,,,,,,,
92,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q26b,T,F,17,3,30,12,11,F,F,,,,,,,
93,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q26c,T,F,17,3,30,12,11,F,F,,,,,,,
94,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q27a,T,F,21,0,30,12,11,F,F,,,,,,,
95,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q27b,T,F,21,0,30,12,11,F,F,,,,,,,
96,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q27c,T,F,21,0,30,12,11,F,F,,,,,,,
97,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q28a,T,F,23,0,35,14,12,F,F,,,,,,,
98,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q28b,T,F,23,0,35,14,12,F,F,,,,,,,
99,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q28c,T,F,23,0,35,14,12,F,F,,,,,,,
100,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q29a,T,F,28,5,40,17,15,F,F,,,,,,,
101,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q29b,T,F,28,5,40,17,15,F,F,,,,,,,
102,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q29c,T,F,28,5,40,17,15,F,F,,,,,,,
103,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q30a,T,F,21,3,30,12,10,F,F,268.741,220.285,,559,43873.171,170569.659,489.026
104,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q30b,T,F,21,3,30,12,10,F,F,359.249,216.865,,514,67624.488,205175.877,576.114
105,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q30c,T,F,21,3,30,12,10,F,F,288.513,227.172,,523,52257.382,197813.75,515.685
106,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q31a,T,F,20,3,26,11,10,F,F,247.648,203.363,,443,61085.618,181402.683,451.011
107,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q31b,T,F,20,3,26,11,10,F,F,223.839,227.205,,529,90968.069,247340.679,451.044
108,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q31c,T,F,20,3,26,11,10,F,F,189.919,197.375,,491,133597.111,255289.793,387.294
109,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q32a,T,F,6,0,13,6,5,F,F,,,,,,,
110,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q32b,T,F,6,0,13,6,5,F,F,,,,,,,
111,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q33a,T,F,19,0,34,14,8,F,F,,,,,,,
112,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q33b,T,F,19,0,34,14,8,F,F,,,,,,,
113,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q33c,T,F,19,0,34,14,8,F,F,,,,,,,
1,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q1a,T,F,5,0,12,5,5,F,F,,,,,47882.425,225467,
2,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q1b,T,F,5,0,12,5,5,F,F,,,,,22828.788,224214,
3,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q1c,T,F,5,0,12,5,5,F,F,,,,,36000.741,225725,
4,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q1d,T,F,5,0,12,5,5,F,F,,,,,22459.528,229398,
5,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q2a,T,F,5,0,10,5,5,F,F,,,,,,337658,
6,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q2b,T,F,5,0,10,5,5,F,F,,,,,,331673,
7,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q2c,T,F,5,0,10,5,5,F,F,,,,,,317999,
8,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q2d,T,F,5,0,10,5,5,F,F,,,,,,429161,
9,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q3a,T,F,4,0,9,4,4,F,F,,,,,13336.375,107336,
10,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q3b,T,F,4,0,9,4,4,F,F,,,,,5724.69,73735,
11,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q3c,T,F,4,0,9,4,4,F,F,,,,,24196.016,196630,
12,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q4a,T,F,5,0,12,5,5,F,F,,,,,11232.036,807496,
13,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q4b,T,F,5,0,12,5,5,F,F,,,,,4541.244,244850,
14,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q4c,T,F,5,0,12,5,5,F,F,,,,,13463.222,281282,
15,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q5a,T,F,5,0,11,5,5,F,F,,,,,,265722,
16,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q5b,T,F,5,0,11,5,5,F,F,,,,,,283953,
17,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q5c,T,F,5,0,11,5,5,F,F,,,,,,277190,
18,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6a,T,F,5,3,11,5,5,F,F,,,,,45287.71,18026,
19,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6b,T,F,5,3,11,5,5,F,F,,,,,,163716,
20,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6c,T,F,5,3,11,5,5,F,F,,,,,45683.845,9400,
21,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6d,T,F,5,3,11,5,5,F,F,,,,,,2484285,
22,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6e,T,F,5,3,11,5,5,F,F,,,,,47411.786,17750,
23,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q6f,T,F,5,3,11,5,5,F,F,,,,,,2534432,
24,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q7a,T,F,11,2,20,8,8,F,F,,,,,43186.736,524818,
25,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q7b,T,F,11,2,20,8,8,F,F,,,,,34569.914,178631,
26,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q7c,T,F,11,2,20,8,8,F,F,,,,,158701.636,1196297,
27,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q8a,T,F,8,4,17,7,7,F,F,,,,,,828207,
28,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q8b,T,F,8,4,17,7,7,F,F,,,,,,289594,
29,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q8c,T,F,8,4,17,7,7,F,F,,,,,,2799042,
30,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q8d,T,F,8,4,17,7,7,F,F,,,,,,1120034,
31,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q9a,T,F,9,3,22,8,8,F,F,,,,,,334933,
32,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q9b,T,F,9,3,22,8,8,F,F,,,,,,326299,
33,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q9c,T,F,9,3,22,8,8,F,F,,,,,,1355416,
34,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q9d,T,F,9,3,22,8,8,F,F,,,,,,2367544,
35,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q10a,T,F,7,4,17,7,7,F,F,,,,,,385787,
36,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q10b,T,F,7,4,17,7,7,F,F,,,,,,315768,
37,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q10c,T,F,7,4,17,7,7,F,F,,,,,,1969072,
38,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q11a,T,F,10,0,20,8,8,F,F,,,,,12611.062,51604,
39,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q11b,T,F,10,0,20,8,8,F,F,,,,,21041.488,31644,
40,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q11c,T,F,10,0,20,8,8,F,F,,,,,2409032.608,132333,
41,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q11d,T,F,10,0,20,8,8,F,F,,,,,,117667,
42,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q12a,T,F,10,0,21,8,7,F,F,,,,,,284453,
43,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q12b,T,F,10,0,21,8,7,F,F,,,,,,225168,
44,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q12c,T,F,10,0,21,8,7,F,F,,,,,,701292,
45,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q13a,T,F,11,0,22,9,8,F,F,,,,,,1021779,
46,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q13b,T,F,11,0,22,9,8,F,F,,,,,,654999,
47,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q13c,T,F,11,0,22,9,8,F,F,,,,,,546403,
48,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q13d,T,F,11,0,22,9,8,F,F,,,,,,1637947,
49,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q14a,T,F,14,0,19,8,7,F,F,,,,,17567.837,221046,
50,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q14b,T,F,14,0,19,8,7,F,F,,,,,55391.887,108739,
51,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q14c,T,F,14,0,19,8,7,F,F,,,,,19850.576,411982,
52,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q15a,T,F,14,0,21,9,9,F,F,,,,,,421662,
53,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q15b,T,F,14,0,21,9,9,F,F,,,,,,237172,
54,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q15c,T,F,14,0,21,9,9,F,F,,,,,,,
55,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q15d,T,F,14,0,21,9,9,F,F,,,,,,700537,
56,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q16a,T,F,11,2,15,8,8,F,F,,,,,,162260,
57,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q16b,T,F,11,2,15,8,8,F,F,,,,,,10277052,
58,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q16c,T,F,11,2,15,8,8,F,F,,,,,,1025284,
59,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q16d,T,F,11,2,15,8,8,F,F,,,,,,847251,
60,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17a,T,F,9,2,13,7,7,F,F,,,,,,6643723,
61,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17b,T,F,9,2,13,7,7,F,F,,,,,,3596222,
62,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17c,T,F,9,2,13,7,7,F,F,,,,,,3446411,
63,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17d,T,F,9,2,13,7,7,F,F,,,,,,3468938,
64,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17e,T,F,9,2,13,7,7,F,F,,,,,,6469578,
65,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q17f,T,F,9,2,13,7,7,F,F,,,,,,4947478,
66,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q18a,T,F,9,3,18,7,6,F,F,,,,,103102.623,2842431,
67,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q18b,T,F,9,3,18,7,6,F,F,,,,,20746.564,291047,
68,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q18c,T,F,9,3,18,7,6,F,F,,,,,23887.901,2787727,
69,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q19a,T,F,13,5,25,10,10,F,F,,,,,,326309,
70,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q19b,T,F,13,5,25,10,10,F,F,,,,,,286989,
71,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q19c,T,F,13,5,25,10,10,F,F,,,,,,1231454,
72,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q19d,T,F,13,5,25,10,10,F,F,,,,,,3740348,
73,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q20a,T,F,12,3,23,10,9,F,F,,,,,57960.862,1454016,
74,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q20b,T,F,12,3,23,10,9,F,F,,,,,70892.914,1142657,
75,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q20c,T,F,12,3,23,10,9,F,F,,,,,,714327,
76,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q21a,T,F,14,0,24,9,9,F,F,,,,,25362.703,60933,
77,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q21b,T,F,14,0,24,9,9,F,F,,,,,14228.409,52100,
78,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q21c,T,F,14,0,24,9,9,F,F,,,,,34230.123,53247,
79,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q22a,T,F,16,0,29,11,10,F,F,,,,,,299046,
80,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q22b,T,F,16,0,29,11,10,F,F,,,,,,,
81,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q22c,T,F,16,0,29,11,10,F,F,,,,,,1306166,
82,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q22d,T,F,16,0,29,11,10,F,F,,,,,,581299,
83,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q23a,T,F,16,0,25,11,11,F,F,,,,,,335382,
84,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q23b,T,F,16,0,25,11,11,F,F,,,,,,46684,
85,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q23c,T,F,16,0,25,11,11,F,F,,,,,,445513,
86,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q24a,T,F,18,5,29,12,12,F,F,,,,,,,
87,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q24b,T,F,18,5,29,12,12,F,F,,,,,,,
88,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q25a,T,F,14,2,22,9,8,F,F,,,,,31522.381,951134,
89,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q25b,T,F,14,2,22,9,8,F,F,,,,,28286.923,121424,
90,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q25c,T,F,14,2,22,9,8,F,F,,,,,47048.989,2897081,
91,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q26a,T,F,17,3,30,12,11,F,F,,,,,,,
92,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q26b,T,F,17,3,30,12,11,F,F,,,,,,,
93,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q26c,T,F,17,3,30,12,11,F,F,,,,,,,
94,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q27a,T,F,21,0,30,12,11,F,F,,,,,,,
95,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q27b,T,F,21,0,30,12,11,F,F,,,,,,,
96,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q27c,T,F,21,0,30,12,11,F,F,,,,,,,
97,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q28a,T,F,23,0,35,14,12,F,F,,,,,,,
98,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q28b,T,F,23,0,35,14,12,F,F,,,,,,,
99,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q28c,T,F,23,0,35,14,12,F,F,,,,,,,
100,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q29a,T,F,28,5,40,17,15,F,F,,,,,,,
101,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q29b,T,F,28,5,40,17,15,F,F,,,,,,,
102,PG-Strom,F,F,F,64,3090,24,4.03,10496,Q29c,T,F,28,5,40,17,15,F,F,,,,,,,
